Institution,out turn
YASHWANT JUNIOR COLLEGE OF EDUCATION RAMNAGAR WARDHA (Id: S-10237),1
"Yashwant Nursing Institute ,Kodoli (Id: S-15878)",18
"YASHWANT NURSING SCHOOL, ASHTI (Id: S-12837)",32
YASHWANT NURSING TRAINING SCHOOL (Id: S-17065),38
YASHWANTRAO BHONSALE POLYTECHNIC (Id: S-15057),146
YASHWANTRAO CHAVAN SHIKSHAN PRASARAK MANDAL ERANDOL JALGAON (Id: S-10238),14
YASHWANT SCHOOL OF NURSING GNM HINGOLI (Id: S-18848),0
Yatharth Nursing College And Paramedical Institute (Id: S-15267),79
"Y.D. Mane Institute of Nursing,Kagal. (Id: S-17798)",28
"YEOLA NURSING SCHOOL, YEOLA (Id: S-16127)",121
YERALA SCHOOL OF NURSING MUMBAI (Id: S-4834),166
YERRAMSETTI RAJYA LAKSHMI D.Ed COLLEGE (Id: S-15915),91
Yeshwant Institute Of Nursing Aurangabad (Id: S-17886),35
Yeshwant Institute Of Nursing Parbhani (Id: S-17887),15
YESHWANTRAO CHAVAN COLLEGE OF EDUCATION HINGOLI HINGOLI (Id: S-10241),0
"YESs  SRI SIDDHALINGESHWAR COLLEGE OF PHARMACY, NAUBAD, BIDAR-585402 (Id: S-16857)",18
"Y.K.D POLYTECHNIC, GULBARGA (Id: S-10984)",7
"YOGIRAJ INSTITUTE OF TECHNOLOGY, KOTA (Id: S-2708)",26
YOUTH SCHOOL OF NURSING ANANTHAPUR (Id: S-3692),39
"Y R S POLYTECHNIC, MOGA (Id: S-2530)",61
"Y S R ELEMENTARY TEACHER TRAINING INSTITUTE, PETBASHIRBAG, QUTHBULLAPUR, RANGA REDDY (Id: S-14723)",29
"Y.S.S SCHOOL OF NURSING, KUDLAGI (Id: S-18262)",8
YUVAK VIKAS HIMAYAT BAG AURANGABAD (Id: S-10242),18
YUVAK VIKAS SHIKSHAN PRASARAK MANDAL JINHUR PARBHANI (Id: S-10243),0
YUVAK VIKAS SHIKSHAN PRASARK MANDALS GANGAKHED PARBHANI (Id: S-10244),0
ZACISTHA EDUCATIONAL INSTITUTE (Id: S-17220),85
ZAKIR HUSSAIN TEACHER TRAINING INSTITUTE KHANDWA (Id: S-7339),123
ZEAL EDUCATION SOCIETYS HINGNE KHURD PUNE (Id: S-10245),34
ZEERA SCHOOL OF NURSING FIROZPUR (Id: S-5047),44
"Zenesys Junior Nursing School, At-Pragyan Vihar (Id: S-15442)",30
ZENITH INSTITUTE OF SCIENCE & TECHNOLOGY (Id: S-2383),102
ZOHARS COLLEGE OF DIPLOMA IN ELEMENTARY EDUCATION (Id: S-16160),45
"100001-KCES'S MOOLJEE JAITHA COLLEGE, JALGAON. (Id: C-8888)",1930
"100002-JDMVP CO-OP S'S ARTS, COMMERCE & SCIENCE COLLEGE, JALGAON. (Id: C-8913)",721
"100003-EU'S DR. ANNASAHEB G.D.BENDALE MAHILA MAHAVIDYALAYA, JALGAON. (Id: C-8979)",670
"100004-Khandesh College Education Society'S College of Education And Physical Education, JALGAON. (Id: C-8922)",127
"100005-KCES'S S.S.MANIYAR LAW COLLEGE, JALGAON. (Id: C-9030)",200
"100006-KRES'S ADV.SITARAM (BABANBHAU) A.BAHETI ARTS,COMMERCE&SCIENCE COLLEGE, JALGAON (Id: C-9025)",195
"100007-SSBT'S COLLEGE OF ENGINEERING & TECHNOLOGY, BAMBHORI. (Id: C-8977)",690
"100008-SES'S COLLEGE OF PHYSICAL EDUCATION, JALGAON. (Id: C-8876)",22
"100009- IQRA EDUCATION SOCIETY'S H.J.THIM COLLEGE OF ARTS AND SCIENCE MEHRUN, JALGAON. (Id: C-8940)",76
"100010-KCES'S INSTITUTE OF MANAGEMENT & RESEARCH, JALGAON. (Id: C-9027)",237
"100043-IES'S IQRA COLLEGE OF EDUCATION, MEHRUN. (Id: C-8833)",29
"100054-GOVERNMENT COLLEGE OF ENGINEERING, JALGAON. (Id: C-8946)",441
"100055-DNCVP'S COLLEGE OF SOCIAL WORK, JALGAON. (Id: C-8918)",169
"100061-SE&CM'S SHRI GULABRAO DEOKAR COLLEGE OF ENGINEERING, JALGAON. (Id: C-8860)",202
"100062-K.A.K.P. SANSHTA'S COMMERCE & SCIENCE COLLEGE, JALGAON (Id: C-8862)",1
"100063-GF'S GODAVARI COLLEGE OF ENGINEERING, JALGAON (Id: C-8836)",128
"100066-Dhanaji Nana Chaudhari Vidya Prabodhini Sanchalit Shirish Madhukarrao Chaudhari College, Jalgaon (Id: C-8907)",99
"100074-GODAVARI FOUNDATION'S DR.ULHAS PATIL COLLEGE OF SCIENCE&COMMERCE,JALGAON. (Id: C-8943)",0
100081-GODAVARI FOUNDATION'S GODAVARI INSTITUTE OF MANAGEMENT & RESEARCH JALGAON (Id: C-8905),44
"100084-KCES'S COLLEGE OF ENGINEERING & INFORMATION TECHNOLOGY, JALGAON (Id: C-8815)",171
"100089-GFS'S GODAVARI COLLEGE OF MUSIC & FINE ARTS,JALGAON (Id: C-9023)",0
"100090-GFS'S DR.ULHAS PATIL LAW COLLEGE, JALGAON (Id: C-8899)",15
"100094-COLLEGE OF ARCHITECTURE, JALGAON (Id: C-10236)",5
"100098-SHELLINO EDUCATION SOCIETY'S ARUNAMAI COLLEGE OF PHARMACY,MAMURABAD,JALGAON (Id: C-8852)",48
"100100-G.H. RAISONI INSTITUTE OF ENGINEERING & MANAGEMENT, JALGAON. (Id: C-8831)",252
"100101-GHREFS'S G. H. Raisoni Institute of Business Management, Jalgaon. (Id: C-8991)",55
"100103-SES'S COLLEGE OF EDUCATION, JALGAON. (Id: C-8998)",0
"100105-JAI DURGA BHAVANI KRIDA MANDAL'S OM SAI COLLEGE OF EDUCATION, SHIRSOLI (Id: C-8864)",20
"100110-SMBKMP'S SHRI.CHHATRAPATI RAJE SAMBHAJI COLLEGE OF EDUCATION, JALGAON (Id: C-9013)",61
"100112-EKES'S RAOSAHEB RUPCHAND SENIOR COLLEGE,JALGAON (Id: C-8813)",0
"100113-KCES'S POST GRADUATE COLLEGE OF SCIENCE TECH.& RESEARCH, JALGAON. (Id: C-8877)",114
"110012-TES'S BHUSAWAL ARTS,SCIENCE & P.O.NAHATA COMMERCE COLLEGE, BHUSAWAL. (Id: C-8915)",518
"110013-SSVPM'S SMT.P.K.KOTECHA MAHILA MAHAVIDYALAYA, BHUSAWAL. (Id: C-9032)",162
"110015-JDMVP CO-OP S'S ARTS,COMMERCE & SCIENCE COLLEGE, VARANGAON. (Id: C-8834)",70
"110016-BSCES'S ARTS & COMMERCE COLLEGE, BODVAD. (Id: C-9017)",110
"110044-TES'S INSTITUTE OF MANAGEMENT & CAREER DEVELOPMENT, BHUSAWAL. (Id: C-8967)",0
"110050-THE BHUSAWAL PEOPLES CHARI.SANSTHA'S DADASAHEB DEVIDAS N.BHOLE COLLEGE,BHUSAWAL. (Id: C-8994)",58
"110059-HINDI SEVA MANDAL'S SHRI.SANT GADGE BABA COLLEGE OF ENGINEERING & TECHNOLOGY, BHUSAWAL (Id: C-8830)",282
"110088-K.NARKHEDE COLLEGE BHUSAWAL, Dist JALGAON (Id: C-8850)",17
"110102-KYDSCT'S COLLEGE OF PHARMACY, SAKEGAON-BHUSAWAL (Id: C-8936)",80
"110109-LATE DCBEDT'S BIYANI COLLEGE OF EDUCATION, BHUSAWAL (Id: C-8920)",46
"120017-KES'S PRATAP COLLEGE, AMALNER. (Id: C-8807)",1053
"120018-NPS'S COLLEGE OF EDUCATION, AMALNER. (Id: C-8989)",47
"120064-SSES'S PANDIT JAWAHARLAL NEHRU B.S.W. & M.S.W. COLLEGE, AMALNER (Id: C-8951)",310
"120068-DMESS'S ARTS & SCIENCE COLLEGE,AMALNER (Id: C-8985)",25
"120072-GVSM'S LATE NHANABHAU M.T.PATIL ART COLLEGE,MARWAD,TAL-AMALNER,DIST-JALGAON. (Id: C-8917)",37
"130020-CES'S BP.ARTS,SMA.SCIENCE & KKC.COMMERCE COLLEGE, CHALISGAON. (Id: C-8848)",302
"130021-RSSPM'S NANASAHEB YASHAVANTRAO N.CHAVAN ARTS,SCIENCE&COMMERCE COLLEGE,CHALISGAON (Id: C-9007)",490
"130082-SSMACT'S SMT. SITABAI MANGILAL AGRAWAL INSTITUTE OF MANAGEMENT, CHALISGAON (Id: C-8819)",13
"130083-MPS&SVM'S ARTS COLLEGE, CHALISGAON (Id: C-8961)",5
"130091-MFS&SVMS MAHATMA PHULE COLLEGE OF EDUCATION, CHALISGAON. (Id: C-8832)",22
"130106-KDMG'S NANASAHEB DR.UTTAMRAO MAHAJAN COLLEGE OF EDUCATION,KARGAON,TAL-CHALISGAON (Id: C-8814)",62
"140022-MAHATMA GANDHI SHIKSHAN MANDALS ARTS, SCIENCE AND COMMERCE COLLEGE, CHOPDA,  JALGAON (Id: C-8975)",493
"140024-CES'S COLLEGE OF EDUCATION, CHOPDA. (Id: C-8982)",49
"140046-MGSM'S SMT.SHARADCHANDRIKA SURESH PATIL COLLEGE OF PHARMACY, CHOPDA (Id: C-9004)",51
"140052-BM'S COLLEGE OF SOCIAL STUDIES & SOCIAL WORK, CHOPDA. (Id: C-8823)",92
"140065-PS&SSS PANKAJ ARTS COLLEGE, CHOPDA (Id: C-8878)",27
"150026-JDMVP CO-OP S'S ARTS,COMMERCE & SCIENCE COLLEGE, YAWAL. (Id: C-8927)",93
"150027-TMES'S J.T.MAHAJAN COLLEGE OF ENGINEERING, FAIZPUR. (Id: C-9012)",268
"150028 - TAPI VALLEY EDUCATION SOCIETY'S DHANAJI NANA MAHAVIDYALAYA, FAIZPUR. (Id: C-8881)",436
"150029-TVES'S COLLEGE OF EDUCATION, FAIZPUR. (Id: C-8806)",11
"150051-TVES'S HON'BLE LOKSEVAK MADHUKARRAO CHAUDHARI COLLEGE OF PHARMACY, FAIZPUR. (Id: C-8851)",63
"150056-SES'S ARTS & SCIENCE COLLEGE, BHALOD, TAL. YAWAL (Id: C-8820)",28
"160030-YCSPM'S DADASAHEB D.S.PATIL ARTS,SCIENCE & COMMERCE COLLEGE, ERANDOL. (Id: C-8981)",130
"160031-PRHSS'S ARTS & COMMERCE COLLEGE, DHARANGAON. (Id: C-8885)",142
"170032-JTES'S ARTS,COMMERCE & SCIENCE COLLEGE, JAMNER. (Id: C-8983)",743
"170033-APPASAHEB RAGUNATHRAO BHAURAO GARUD ARTS, COMMERCE & SCIENCE COLLEGE SHENDURNI TAL-JAMNER DIST-JALGAON (Id: C-8894)",254
"170034-PT CO-OP ES'S ARTS,SCIENCE & COMMERCE COLLEGE, PACHORA. (Id: C-8980)",210
"170096-SHREE SURESHDADA JAIN INSTITUTE OF PHARMACEUTICAL EDUCATION & RESEARCH, JAMNER (Id: C-8987)",64
"170111-PDUSPM'S INSTITUTE OF MANAGEMENT & RESEARCH, JAMNER (Id: C-8942)",20
"180035-VIDYA BHARATI SHAIKSHANIK MANDALACHE AMARAVATI SANCHLIT SANT MUKTABAI ARTS AND COMMERCE COLLEGE, MUKTAINAGAR. (Id: C-8880)",129
"180036-ETES'S S.G.G.K. SCIENCE & S.K.M.C. ARTS & COMMERCE COLLEGE, MUKTAINAGAR. (Id: C-8910)",132
"180037-RPSPM'S SHRI VITTHALRAO SHANKARRAO NAIK ARTS,COMMERCE & SCIENCE COLLEGE, RAVER. (Id: C-8856)",158
"180038-JSM'S SGVPC COLLEGE OF EDUCATION, KHIRODA. (Id: C-8891)",17
"180049-APSPM'S SARDAR VALLABHBHAI PATEL ARTS & SCIENCE COLLEGE, AINPUR. (Id: C-8956)",41
"190040-KVPS'S KISAN ARTS,COMMERCE & SCIENCE COLLEGE, PAROLA. (Id: C-8863)",43
"190041-PTSS'S SAU. RAJNITAI N.DESHMUKH ARTS,COMMERCE & SCIENCE COLLEGE, BHADGAON. (Id: C-8897)",72
"190042-SSPM'S RANI LAXMIBAI ARTS & SCIENCE COLLEGE, PAROLA. (Id: C-9003)",162
"190097-SSPM'S COLLEGE OF EDUCATION, TEHU, TAL.PAROLA (Id: C-8901)",87
"200001-JAI HIND ET'S ZULAL BHILAJIRAO PATIL COLLEGE, DHULE. (Id: C-8916)",620
"200002-SSVPS'S LATE KARMAVEER DR.P.R. GHOGREY SCIENCE COLLEGE, DHULE. (Id: C-8871)",439
"200003-SSVPS'S BHAUSAHEB N.S.PATIL ARTS & M.F.M.A. COMMERCE COLLEGE, DHULE. (Id: C-8950)",971
"200004-SSVPS'S BAPUSAHEB SHIVAJIRAO DEORE COLLEGE OF ENGINEERING, DHULE. (Id: C-8874)",350
"200005-VWS'S ARTS,COMMERCE&SCIENCE COLLEGE, DHULE. (Id: C-8867)",264
"200006-DES'S M.D.PALESHA COMMERCE COLLEGE, DHULE. (Id: C-8906)",189
"200007-WKDSPM'S DR.BABASAHEB AMBEDKAR MEMORIAL COLLEGE OF LAW, DHULE (Id: C-8921)",116
"200008-DES'S COLLEGE OF EDUCATION, DHULE. (Id: C-8932)",26
"200009-AYKK'S ARTS MAHILA MAHAVIDYALAYA, DHULE. (Id: C-8886)",37
"200013-AYKK'S COLLEGE OF EDUCATION, DHULE. (Id: C-8896)",33
"200017-SES'S COLLEGE OF ENGINEERING, NAVALNAGAR, TAL.& DIST-DHULE. (Id: C-8930)",72
"200018-SMT. N.N.C ARTS COMMERCE & SCIENCE COLLEGE KUSUMBA, TAL.& DIST-DHULE. (Id: C-8962)",82
"200019-NES'S GANGAMAI COLLEGE OF EDUCATION, NAGAON, TAL.& DIST-DHULE. (Id: C-8911)",54
"200020-JSPS'S COLLEGE OF EDUCATION, GARTAD, TAL.& DIST-DHULE (Id: C-8938)",17
"200022-K.S.WANI ADVANCED STUDY CENTRE IN MARATHI, DHULE. (Id: C-8892)",89
"200025-NES'S GANGAMAI COLLEGE OF ENGINEERING, NAGAON, TAL.& DIST-DHULE. (Id: C-8846)",134
"200057-GVM'S KRANTIVIR NAVALBHAU ARTS COLLEGE, NAVALNAGAR, TAL.& DIST-DHULE. (Id: C-8986)",6
"200058-GET'S ARTS & SCIENCE COLLEGE, NAGAON, TAL.& DIST-DHULE. (Id: C-8941)",141
"200064-A.R.A. COLLEGE OF PHARMACY, DHULE. (Id: C-8925)",56
"200070-SSS'S DR.B.R.AMBEDKAR COLLEGE OF SOCIAL WORK, MORANE, TAL.&DIST-DHULE. (Id: C-8870)",239
"200073-BSSPM'S ARTS & SCIENCE COLLEGE, SONGIR, TAL.& DIST-DHULE (Id: C-8978)",125
"200088-SYSTEL INSTITUTE OF MANAGEMENT & RESEARCH, DEOPUR,DHULE. (Id: C-8857)",18
"200094-SSPTS'S LATE BAPUSAHEB S.R.DEORE ARTS & COMMERCE COLLEGE, BORIS, TAL&DIST. DHULE (Id: C-8914)",0
"200095-NES'S GANGAMAI COLLEGE OF PHARMACY, NAGAON, DHULE. (Id: C-8873)",112
"200101-ASPMD'S BAPUSAHEB D.D.VISPUTE COLLEGE OF EDUCATION, VALWADI-DHULE (Id: C-8955)",55
"200103-SET'S INSTITUTE OF INFORMATION TECHNOLOGY, DHULE (Id: C-8895)",13
"200110-SSS'S HAJI SAEED AHMAD SARDAR ARTS&SCIENCE COLLEGE, DHULE (Id: C-8854)",580
"200111-SS&SS'S VIDYADHAN COMMERCE COLLEGE,VALWADI, DHULE (Id: C-8919)",60
"200121-STREE SHIKSHAN SANSTHA'S SUNDARBAI MAGANLAL BIYANI LAW COLLEGE, DHULE (Id: C-49983)",23
"210026-VVM'S ARTS,SCIENCE & COMMERCE COLLEGE, SAKRI. (Id: C-8825)",131
"210027-PES'S KARM.A.M.PATIL ARTS,COM.&KAI.ANNASA.N.K.PATIL SCI.SENIOR COLLEGE,PIMPALNER (Id: C-8970)",63
"210067-NIJAMPUR JAITANE SPM ADARSH ARTS,COM.&SCIENCE COLLEGE,NIJAMPUR,TAL-SAKRI. (Id: C-8869)",20
"210068-NSS UTTAMRAO PATIL ARTS & SCIENCE COLLEGE, DAHIWEL,TAL-SAKRI. (Id: C-9015)",39
"210075-ADMSPS'S PRIN.ANNASAHEB R.D.DEORE ARTS & SCIENCE COLLEGE, MHASDI,TAL-SAKRI (Id: C-8990)",50
"210076-TES'S SMT.VIMALBAI UTTAMRAO PATIL ARTS&LATE DR.B.S.DESALE SCIENCE COLLEGE,SAKRI. (Id: C-8923)",93
"220028-JSS'S ARTS,SCIENCE & COMMERCE COLLEGE, NANDURBAR. (Id: C-8934)",118
"220029-TES'S ARTS,COMMERCE & SCIENCE MAHILA MAHAVIDYALAYA, NANDURBAR. (Id: C-9020)",63
"220052-NTVS'S COLLEGE OF EDUCATION, NANDURBAR. (Id: C-8902)",36
"220053-NTVS'S G.T.PATIL ARTS,SCIENCE & COMMERCE COLLEGE, NANDURBAR. (Id: C-8847)",933
"220077-NANDURBAR TALUKA VIDHAYAK SAMITI'S COLLEGE OF LAW, INSTITUTE OF LEGAL EDUCATION & RESEARCH, NANDURBAR (Id: C-8840)",92
"220105-JIJAMATA EDUCATION SOCIETY'S COLLEGE OF EDUCATION, NANDURBAR (Id: C-8926)",28
"230032-PSGVPM'S D.N.PATEL COLLEGE OF ENGINEERING, SHAHADA, DIST-NANDURBAR. (Id: C-8912)",212
"230033-PSGVPM'S SCIENCE,COMMERCE & S.I.PATIL ARTS COLLEGE, SHAHADA. (Id: C-8855)",209
"230034-PSGVPM'S COLLEGE OF EDUCATION, SHAHADA, DIST-NANDURBAR. (Id: C-8821)",32
"230056-SSPM'S VASANTRAO NAIK ARTS & SCIENCE COLLEGE, SHAHADA. (Id: C-8849)",51
"230065-PSGVPM'S COLLEGE OF PHARMACY, SHAHADA, DIST-NANDURBAR. (Id: C-8996)",78
"230066-GRAM VIKAS SANSTHA'S ARTS COLLEGE, BAMKHEDA, TAL-SHAHADA. DIST. NANDURBAR (Id: C-8992)",36
"230069-SSPM'S ARTS MAHILA COLLEGE, SHAHADA. (Id: C-9029)",26
"230078-SHAHADA TALUKA CO-OPERATIVE EDUCATION SOCIETY'S LTD, SCIENCE SENIOR COLLEGE, SHAHADA DIST- NANDURBAR (Id: C-8898)",23
"230099-SHREE SAIBABA BHAKTA MANDAL'S ARTS SENIOR COLLEGE, MHASAWAD (Id: C-8859)",5
"230102-ST CO.OP.ES'S INSTITUTE OF MANAGEMENT RESEARCH & DEVELOPMENT, SHAHADA (Id: C-8875)",22
"240036-KVPS'S SMT.P.D.M.ARTS, SMT.H.D.COMMERCE & S.M.A.SCIENCE COLLEGE, SHIRPUR. (Id: C-9024)",331
"240039-SES'S H.R.PATEL ARTS MAHILA MAHAVIDYALAYA, SHIRPUR. (Id: C-8973)",129
"240040-SES'S COLLEGE OF EDUCATION, SHIRPUR, DIST-DHULE (Id: C-8960)",93
"240051-R.C.PATEL E.T.'S ARTS & SCIENCE COLLEGE, SHIRPUR. (Id: C-9002)",471
"240055-SES'S R.C.PATEL INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH, SHIRPUR, DIST DHULE (Id: C-8993)",351
"240074-R.C.PATEL EDU.TRUST'S INSTITUTE OF MANAGEMENT RESEARCH&DEVELOPMENT, SHIRPUR (Id: C-8868)",244
"240080-AVPSS ARTS COLLEGE,THALNER,TAL-SHIRPUR, DIST-DHULE (Id: C-8984)",9
"240081-SES'S R.C.PATEL INSTITUTE OF TECHNOLOGY, SHIRPUR (Id: C-8838)",509
"240093-SES'S H.R.PATEL INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH, SHIRPUR (Id: C-8924)",81
"240096-KVPS'S INSTITUTE OF PHARMACEUTICAL EDUCATION, BORADI (Id: C-8959)",57
"250042-SSSVPS'S LATE S.D.PATIL ARTS,COM.&LATE M.D.SISODE SCI.COLLEGE SHINDKHEDA (Id: C-8816)",152
"250043-SSVPS'S SMT.P.B.BAGAL ARTS & COMMERCE COLLEGE, DONDAICHA, TAL SHINDKHEDA, DHULE (Id: C-9009)",47
"250044-SVS'S ARTS & SCIENCE COLLEGE, DONDAICHA, TAL SHINDKHEDA, DHULE (Id: C-8931)",79
"250046-GVSM'S M.D.SISODE ARTS & COMMERCE COLLEGE, NARDANA, TAL-SHINDKHEDA. (Id: C-8958)",153
"250108-SVS'S SHRIMANT RAJE DAULATSINHJI RAWAL COLLEGE OF EDUCATION, DONDAICHA, TAL SHINDKHEDA, DHULE (Id: C-8953)",21
"250114-SHRI JAYKUMAR RAWAL INSTITUTE OF TECHNOLOGY, DONDAICHA, DHULE (Id: C-49529)",118
"260049 - Adhyapak shiksha Mandal's C.H.C Arts, S.G. Patel Commerce & Babaji B.J.Patel Science College, Taloda, District-Nandurbar-425413 (Id: C-9031)",76
"260050-VVM'S ARTS & COMMERCE COLLEGE, AKKALKUWA. (Id: C-8968)",56
"260054-MAHATMA FULEY COLLEGE OF SOCIAL STUDIES & SOCIAL WORK, TALODA. (Id: C-8929)",54
"260072-SJMSM'S ARTS & COMMERCE COLLEGE, KHAPAR, TAL-AKKALKUWA. (Id: C-8837)",25
"260084-GVMMS'S PRADNYA ARTS COLLEGE,MOLAGI,TAL-AKKALKUWA, DIST-N'BAR (Id: C-8947)",488
"260089-RFN'S SENIOR SCIENCE COLLEGE, AKKALKUWA. (Id: C-9005)",9
"260091-JIIU'S JAMIA COLLEGE OF EDUCATION, AKKALKUWA. (Id: C-9006)",0
"260097-ALI-ALLANA COLLEGE OF PHARMACY, AKKALKUWA. (Id: C-9021)",55
"270047-ASS&SPS'S KALA,WANIJYA & VIDNYAN MAHAVIDYALAYA, NAVAPUR. (Id: C-8884)",669
"270048-ASSS'S COLLEGE OF EDUCATION, NAVAPUR, DIST-NANDURBAR. (Id: C-8835)",0
"270083-VES'S SARVAJANIK ARTS COLLEGE, VISARWADI,TAL-NAVAPUR,DIST-NANDURBAR (Id: C-8818)",33
"280061-ASSPM'S MAHARAJ JANARDAN POHARYA WALVI ARTS COLLEGE, DHADGAON. (Id: C-8964)",514
"357 Late.Uttamrao Deshmukh Adhyapak Mahavidyalaya, Rely Station,Shegaon. (Id: C-43002)",55
"+3 Anchalika Mahavidyalaya, Barisal, Dhenkanal (Id: C-39814)",111
"+3 Degree College,Karlapada,Kalahandi (Id: C-40818)",74
"+3 Degree College,Sinapali (Id: C-40833)",37
"+3 Degree Women's College, Kamakshyanagar, Dhenkanal (Id: C-39516)",100
+3 Maa Sarada Devi Mahavidyalaya (Id: C-21388),99
"+3 sanda College, Sanda, Hindol Road, Dhenkanal (Id: C-39599)",276
+3 Womens College Bhogarai (Id: C-21391),95
"+3 Women's College,Kantabanji (Id: C-40913)",0
"410 Babasaheb Deshmukh Parvekar College, Pandharkawada, Tq. Maharashtra Yavatmal. Kelapur. (Id: C-43023)",86
"A1 Global Institute of Engineering & Technology, Markapur- 523316 (CC-7Y) (Id: C-18145)",382
AAA COLLEGE OF ENGINEERING AND TECHNOLOGY (Id: C-49143),79
"AAB COLLEGE OF NURSING (Inst. Code - 344), TIRUVANNAMALAI (Id: C-45727)",34
AACHARYA CHANAKYA LAW COLLEGE (Id: C-62947),0
"Aachary Baldev College, Kopa ,Patarhi, Jaunpur (Id: C-16066)",0
"Aadarsha Chitrakala Mahavidyalaya, Indi (Id: C-26671)",3
Aadarsh Art.& Comm. College Nai Ganj Mandi (Id: C-21657),263
"Aadarsh B.Ed. College, Jaipur (Id: C-38496)",88
"AADARSH B ED COLLEGE, PALARI, SEONI (Id: C-47402)",92
"Aadarsh Mahavidyalaya,  Datrenga, Raipur (Id: C-60423)",172
"Aadarsh Mahavidyalaya, Jaipur (Id: C-39019)",157
"Aadarsh Shikshan Prasarak Mandal, K.T. Patil College of Education, Tambri Vibhag, Osmanabad. (Id: C-34354)",0
AADHAR SHIKSHA MAHAVIDHYALAYA GOURJHAMAR (Id: C-55047),43
"AADHARSHILA TEACHER TRAINING INSTITUTE FOR WOMEN, VILLAGE LEHARRA KHANPUR (Id: C-52967)",0
"Aadhavan Arts and Science College, Alathur Village, Chettiyappatty Panchayat, Manapparai (Tk), Tiruchirappalli - 621 306. (Id: C-35799)",335
"AADHI BHAGAWAN COLLEGE OF PHARMACY (Inst. Code - 281), RANTHAM, THIRUVANNAMALAI (Id: C-45798)",81
Aadhya Mahavidhyalya (Id: C-58219),93
"AADI COLLEGE OF NURSING, JAIPUR (Id: C-47086)",19
Aadilakshmi college of Education (Id: C-55014),19
"AADINATH COLLEGE OF EDUCATION, LALITPUR (Id: C-59141)",214
AADINATH INSTITUTE OF INFORMATION TECHNOLOGY & MANAGEMENT BARWANI (Id: C-31499),0
"Aadi Shakti Degree College, Tajopur, Mau (Id: C-55564)",0
AADI SHIV NAVEEN MAHAVIDYALYA SHANTIPURAM OUNCHA MAINPURI (Id: C-15260),257
"AADISHREE GIRLS COLLEGE FOR HIGER EDUCATION, NH-119 KAUL MAWANA (Id: C-53205)",26
"AADISHWAR COLLEGE OF TECHNOLOGY-VENUS, BHOYAN RATHOD, GANDHINAGAR 081  (Id: C-47)",236
"Aaditya Degree College, Nellore (Id: C-24806)",200
"Aaditya PG College, Nellore (Id: C-24813)",48
AADYA AVIATION COLLEGE (Id: C-62006),3
"A.A. Government Arts College, Musiri - 621 201. (Id: C-35789)",953
"Aai Tuljabhavani Shikshan Prasarak Mandal's Washi's Shivashakti Sanganak Mahavidyalaya, Washi. (Id: C-34299)",46
AAKANKSHA COLLEGE OF LAW (Id: C-54413),24
AAKANKSHA LIONS SCHOOL FOR MENTALLY HANDICAPPED (Id: C-63208),24
"AAKANSHA COLLEGE MEERAPUR, MUZAFFARNAGAR (Id: C-28634)",117
Aakar Adhyapan Mandir M. Ed. College (Id: C-5979),48
AAKAR COLLEGE (Id: C-59903),0
"AAKAR COLLEGE OF MANAGEMENT FOR WOMENS, HINGNA, NAGPUR (Id: C-53427)",30
"Aakar Institute of Management and Research Studies, Shankar Nagar (Id: C-18889)",10
"Aakash College of Education, Hisar (Id: C-10683)",144
"Aakash College of Education, Vill. Chanderkalan, Tohana (Id: C-22418)",127
AAKASH DEEP TEACHER TRAINING COLLEGE (Id: C-54912),198
"Aakash Degree College, Nagarkurnool. (Id: C-21999)",67
"Aakash Educational Society  Aakash College of Commerce  at 404 to 407, 4th floor, Gundavali Municipal School Building, Next to Natraj Studio, Andheri (E), Mumbai - 400 069. (Id: C-34199)",35
"Aakriti Institute of Fine Arts,Jabalpur (Id: C-33047)",2
"AALA HAZRAT KANYA DEGREE COLLEGE, BAHERI (Id: C-51419)",115
AALAP ACADEMY (Id: C-53899),122
AALIM MUHAMMED SALEGH ACADEMY OF ARCHITECTURE (Id: C-59061),56
Aalim Muhammed Salegh College of Engineering (Id: C-16533),295
AALIYAH COLLEGE OF NURSING (Id: C-61932),0
AAMNA LAW COLLEGE (Id: C-55193),75
AANAND COLLEGE OF NURSING (Id: C-47870),98
"AANASAGAR MAHILA T T COLLEGE RANGBARI, KOTA (Id: C-46362)",94
"AAPESHWAR COLLEGE,  RAMSEEN (Id: C-59344)",0
AARADHANA DEGREE COLLEGE AHORE (Id: C-57406),36
AARAV DIKSHA SHIKSHAN SANSTHAN (Id: C-50419),46
AARBEE College of Nursing (Id: C-58565),0
AAR MAHAVEER ENGINEERING COLLEGE (Id: C-59590),36
AAROGYA HOMOEOPATHIC MEDICAL COLLEGE (Id: C-60355),57
AARSH SADHANA MAHAVIDYALAYA  (Id: C-54546),44
Aarupadai Veedu Institute of Technology (Id: C-10224),0
Aarupadai Veedu Medical College and Hospital (Id: C-10217),106
"AARYAN COLLEGE OF EDUCATION,ROHTAK (Id: C-28127)",82
"Aaryan Mahila Mahavidyalaya, Shishu (Id: C-54234)",166
"AARYAVEER HOMOEOPATHY MEDICAL COLLEGE, RAJKOT (Id: C-59075)",0
AARYAWART MAHAVIDHYALAY (Id: C-60046),0
Aasara Samajik Sanstha Kalyan Sanchalit Arts Commerce and Science Night College (Id: C-62670),0
