Institution,out turn
Bhartiya Skill Development Univesity (Id: U-0949),22
"BHATTADEV UNIVERSITY, BAJALI (Id: U-1043)",466
BHUPAL NOBLES' UNIVERSITY (Id: U-0836),1903
"Bhupendra Narayan Mandal University, Madhepura (Id: U-0059)",595
"Bidhan Chandra Krishi Vishwavidyalaya , Nadia (Id: U-0568)",535
"Bihar Agriculture University, Sabour (Id: U-0060)",108
BIHAR ANIMAL SCIENCES UNIVERSITY (Id: U-0997),92
"Biju Patnaik University of Technology, Rourkela (Id: U-0351)",79
BIKANER TECHNICAL UNIVERSITY (Id: U-0991),0
BINOD BIHARI MAHTO KOYALANCHAL UNIVERSITY (Id: U-0978),1874
BIRLA GLOBAL UNIVERSITY (Id: U-1020),168
"Birla Institute of Technology, Ranchi (Id: U-0202)",1233
"Birla Institute of Technology & Sciences, Pilani (Id: U-0391)",3565
"Birsa Agricultural University, Ranchi (Id: U-0203)",203
BIRSA MUNDA TRIBAL UNIVERSITY (Id: U-0966),0
"B.L.D.E. University,  Bijapur (Id: U-0214)",240
BML MUNJAL UNIVERSITY (Id: U-0735),439
BODOLAND UNIVERSITY (Id: U-0674),537
BRAINWARE UNIVERSITY (Id: U-0846),320
B.S. Abdur Rahman Crescent Institute of Science & Technology (Id: U-0445),1127
"Bundelkhand University,  Jhansi (Id: U-0502)",0
"Burdwan University, Burdwan (Id: U-0569)",6484
"Calcutta University, Kolkata (Id: U-0570)",5195
Career Point University (Id: U-0925),523
"CAREER POINT UNIVERSITY, HAMIRPUR (Id: U-0694)",524
"Central Agricultural University, Imphal (Id: U-0336)",499
CENTRAL INSTITUTE OF BUDDHIST STUDIES (Id: U-1025),75
"Central Institute of Fisheries Education, Fishries University, Mumbai (Id: U-0293)",135
"Central Institute of Higher Tibetan Studies, Varanasi (Id: U-0503)",573
CENTRAL INSTITUTE OF TECHNOLOGY (Id: U-1067),0
"Central Univeristy of Gujarat, Gandhinagar (Id: U-0126)",209
"Central Univeristy of Kerala, Kasaragod (Id: U-0252)",610
"Central University of Haryana, Mahendergarh (Id: U-0158)",656
"Central University of Himachal Pradesh, Dharmshala, Kangra (Id: U-0178)",509
CENTRAL UNIVERSITY OF JAMMU (Id: U-0631),334
"Central University of Jharkhand, Ranchi (Id: U-0204)",499
"Central University of Karnataka, Gulbarga (Id: U-0216)",449
"Central University of Kashmir, Srinagar (Id: U-0193)",436
"Central University of Orissa, Koraput (Id: U-0352)",308
"Central University of Punjab, Bathhinda (Id: U-0372)",492
"Central University of Rajasthan, Jaipur (Id: U-0392)",460
"Central University of South Bihar, Patna (Id: U-0062)",315
"Central University of Tamil Nadu, Tiruvarur (Id: U-0449)",615
"Centre for Environmental Planning and Technology University, Ahmedabad (Id: U-0127)",482
Centurion University of Technology and Management (Id: U-0353),507
CENTURION UNIVERSITY OF TECHNOLOGY AND MANAGEMENT (Id: U-0957),0
CHANDIGARH UNIVERSITY (Id: U-0747),6402
"Chankaya National Law University, Patna (Id: U-0063)",142
"Charotar University of Science & Technology,  Anand (Id: U-0128)",33
"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)",1310
CHAUDHARY BANSI LAL UNIVERSITY (Id: U-0788),229
"CHAUDHARY RANBIR SINGH UNIVERSITY, JIND (Id: U-0738)",433
"Chaudhary Sarwan Kumar Himachal Pardesh Krishi Vishvavidyalaya, Palampur (Id: U-0179)",432
"Ch. Devi Lal University, Sirsa (Id: U-0160)",1161
"Chennai Mathematical  Institue, Chennai (Id: U-0450)",57
"Chettinad Academy of Research & Education, Kancheepuram (Id: U-0451)",3
CHHATRAPATI SHIVAJI MAHARAJ UNIVERSITY (Id: U-0987),0
CHHATTISGARH KAMDHENU VISHWAVIDALAYA (Id: U-0634),394
"Chhattisgarh Swami Vivekanand Technical University, Bhilai (Id: U-0083)",17
"Children University, Gandhinagar (Id: U-0594)",45
Chinmaya Vishwavidyapeeth (Id: U-0903),5
"Chitkara University, Kalu Jhanda (Barotiwala), Solan (Id: U-0180)",383
"Chitkara University, Patiala (Id: U-0373)",2261
"Choudhary Charan Singh University, Meerut (Id: U-0506)",0
"Christ University, Bangalore (Id: U-0217)",6837
Cluster University of Jammu (Id: U-0926),0
CMJ University (Id: U-0942),204
"CMR UNIVERSITY, BANGALORE (Id: U-0723)",379
"Cochin University of Science & Technology, Kochi (Id: U-0253)",1214
COOCH BEHAR PANCHANAN BARMA UNIVERSITY (Id: U-0787),486
COTTON UNIVERSITY (Id: U-0675),1390
"CT University, Ludhiana (Id: U-0892)",87
"C.U.SHAH UNIVERSITY, SURENDRANAGAR (Id: U-0708)",34
Dakshina Bharat Hindi Prachar Sabha (Id: U-0452),515
Damodaram Sanjivayya National Law University (Id: U-0002),122
"Datta Meghe Institute of Medical Sciences, Nagpur (Id: U-0295)",672
"Davangere University, Davangere (Id: U-0218)",903
DAV University (Id: U-0776),1457
"Dayalbagh Educational Institute, Agra (Id: U-0507)",2953
DAYANANDA SAGAR UNIVERSITY (Id: U-0856),506
"Deccan College Postgraduate & Research Institute, Pune (Id: U-0296)",67
"Deenbandhu Chhotu Ram University of Science & Technology, Murthal(Sonepat) (Id: U-0161)",756
"Deen Dayal Upadhyay Gorakhpur University, Gorakhpur (Id: U-0508)",3614
"Defence Institute of Advanced Technology, Girinagar, Pune (Id: U-0297)",274
DELHI PHARMACEUTICAL SCIENCES AND RESEARCH UNIVERSITY (Id: U-0853),145
DESH BHAGAT UNIVERSITY (Id: U-0684),784
"Devi Ahilya Vishwavidyalaya, Indore (Id: U-0270)",3560
"Dev Sanskriti Vishwavidyalaya, Gayatrikunj (Id: U-0551)",568
DHARMASHASTRA NATIONAL LAW UNIVERSITY (Id: U-0958),0
"Dharmsinh Desai univeristy, Nadiad (Id: U-0129)",1101
"Dhirubhai Ambani Institute of Information & Communication Technology, Gandhi Nagar (Id: U-0130)",475
DIAMOND HARBOUR WOMEN?S UNIVERSITY (Id: U-0768),386
"Dibrugarh University, Dibrugarh (Id: U-0051)",3677
DIT UNIVERSITY (Id: U-0774),1413
"Doon University, Dehradun (Id: U-0552)",284
DR. ABDUL HAQ URDU UNIVERSITY (Id: U-0998),59
Dr. A.P.J. ABDUL KALAM UNIVERSITY (Id: U-0862),1202
"Dravidian University, Kuppam, Chittoor District (Id: U-0010)",395
"Dr. Babasaheb Ambedkar Marathwada University, Aurangabad (Id: U-0298)",1288
"Dr. Babasaheb Ambedkar Open University, Ahmedabad (Id: U-0131)",8722
"Dr. Babasaheb Ambedkar Technological University, Lonere (Id: U-0299)",624
"Dr. B. R. Ambedkar National Institute of Technology, Jalandhar (Id: U-0374)",877
Dr. B.R Ambedkar National Law University (Id: U-1070),0
"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",4259
"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",1077
Dr. B. R. Ambedkar University Delhi (Id: U-0097),818
"Dr.B.R.Ambedkar University, Etcherla (Id: U-0009)",682
Dr. C.V. Raman University (Id: U-0937),154
Dr. C.V RAMAN UNIVERSITY (Id: U-0994),22
"Dr. C. V. Raman University, Kota Bilaspur (Id: U-0084)",45851
"Dr. Harisingh Gaur  Vishwavidyalaya, Sagar (Id: U-0271)",1518
DR HOMI BHABHA STATE UNIVERSITY MUMBAI (Id: U-1076),0
"Dr K N Modi University, Tonk (Id: U-0393)",511
"Dr Rajendra Prasad Central Agricultural University, Samastipur (Id: U-0075)",62
"Dr. Ram Manohar Lohia  Awadh University, Faizabad (Id: U-0510)",2260
"Dr. Ram Manohar Lohiya National Law University, Lucknow (Id: U-0511)",213
"Dr Sarvepalli Radhakrishnan Rajasthan Ayurved University, Jodhpur (Id: U-0418)",1265
DR. SHYAMA PRASAD MUKHERJEE UNIVERSITY (Id: U-0982),74
Dr. Vishwanath Karad MIT World Peace University (Id: U-0938),682
"Dr. Y.S. Parmar University of Horticulture and Forestry, Solan (Id: U-0181)",517
Dr Y S R Horticulture University (Id: U-0001),375
"D.Y. Patil Educational Society , Kolhapur (Id: U-0294)",311
D Y PATIL INTERNATIONAL UNIVERSITY (Id: U-0984),0
ERA UNIVERSITY (Id: U-1040),177
"Eternal University, Baru Sahib Sirmour (Id: U-0182)",352
"Fakir Mohan University, Balasore (Id: U-0354)",1638
Footwear Design and Development Institute (Id: U-0898),300
GALGOTIAS UNIVERSITY (Id: U-0643),3178
"Gandhigram Rural Institute, Dindigul (Id: U-0453)",926
GANDHI INSTITUTE OF ENGINEERING AND TECHNOLOGY UNIVERSITY (Id: U-1071),0
"Gandhi Institute of Technology & Management (GITAM) University, Visakhapatnam (Id: U-0011)",15984
GANGADHAR MEHER UNIVERSITY (Id: U-0852),1700
"Ganpat University, Ganpat Vidyanagar, Kherva (Id: U-0132)",313
Garden City University (Id: U-0918),131
"Gauhati University, Guwahati (Id: U-0052)",4355
