university,studenttotal,teacherscount,sfr
MAHARAJA RANJIT SINGH STATE TECHNICAL UNIVERSITY (Id: U-0811),1728,112.0,15.428571428571429
"Maharaja Sayajirao University of Baroda, Vadodara (Id: U-0143)",45358,1057.0,42.9120151371807
MAHARAJA SURAJMAL BRIJ UNIVERSITY (Id: U-0793),146,13.0,11.23076923076923
"MAHARAJ VINAYAK GLOBAL UNIVERSITY, JAIPUR (Id: U-0965)",827,180.0,4.594444444444444
"Maharana Pratap University of Agriculture & Technology, Udaipur (Id: U-0407)",3192,79.0,40.40506329113924
MAHARANI CLUSTER UNIVERSITY (Id: U-1047),4200,444.0,9.45945945945946
"Maharashi Markandeshwar University, Solan (Id: U-0187)",871,169.0,5.153846153846154
"Maharashtra Animal & Fishery Sciences University, Nagpur (Id: U-0312)",0,7.0,0.0
"Maharashtra National Law University, Aurangabad (Id: U-0915)",172,11.0,15.636363636363637
Maharashtra National Law University Mumbai (Id: U-0886),360,14.0,25.714285714285715
"Maharashtra National Law University,Nagpur (Id: U-0880)",400,16.0,25.0
"Maharashtra University of Health Sciences, Nashik (Id: U-0313)",81,2.0,40.5
MAHARISHI ARVIND UNIVERSITY (Id: U-0842),1959,60.0,32.65
"Maharishi Dayanand Saraswati University, Ajmer (Id: U-0408)",1144,110.0,10.4
Maharishi  Mahesh Yogi Vedic Vishwavidyalaya (Id: U-0280),6256,58.0,107.86206896551724
"Maharishi Markandeshwar University, Mullana-Ambala (Id: U-0168)",9812,742.0,13.223719676549866
"MAHARISHI MARKANDESHWAR UNIVERSITY, SADOPUR-AMBALA (Id: U-0641)",1193,101.0,11.811881188118813
MAHARISHI UNIVERSITY OF INFORMATION TECHNOLOGY (Id: U-0952),787,103.0,7.640776699029126
"Maharshi Dayanand University, Rohtak (Id: U-0167)",57927,366.0,158.2704918032787
"Mahatama Gandhi Antarrashtriya Hindi Vishwavidyalaya, Wardha (Id: U-0314)",4911,137.0,35.846715328467155
"Mahatama Gandhi Gramodaya Vishwavidyalaya, Chitrakoot, Satna (Id: U-0282)",70064,66.0,1061.5757575757575
