university,studenttotal,teacherscount,sfr
SHRI BAJRANG SHIKSHAK PRASHIKSHAN SCHOOL (Id: S-7634),76,6.0,12.666666666666666
"SHRI BALAJI COLLEGE OF POLYTECHNIC SANGRUR ROAD, PATIALA (Id: S-2513)",165,38.0,4.342105263157895
Shri Balaji Institute of Nursing (Id: S-15604),69,14.0,4.928571428571429
shri balaji polytechnic college (Id: S-15390),418,24.0,17.416666666666668
SHRI BALAJI SHIKSHAN PRASARAK MANDAL SHEPWADA BEED (Id: S-9957),82,2.0,41.0
SHRI BALDEV RAM MIRDHA INSTITUTE OF NURSING NAGOUR (Id: S-5179),87,11.0,7.909090909090909
SHRI BANESHWAR ADHYAPAK VIDYALAYA (Id: S-16489),18,7.0,2.5714285714285716
SHRI BASAVESHWAR RURAL EDUCATION & DEVELOPMENT TRU DHARWAD (Id: S-6661),0,6.0,0.0
SHRI BHAGWAN NURSING SCHOOL LATUR (Id: S-17081),92,11.0,8.363636363636363
"SHRI BHAIRAVANATH SHIKSHAN SANSTHA, SHRI BHAIRAVNATH NURSING SCHOOL (Id: S-17060)",91,7.0,13.0
SHRI BHAIRAVNATH NISARG MANDALS KALAMB OSMANABAD (Id: S-9961),98,8.0,12.25
SHRI BHANWAR SINGH MUKHIAJI COLLEGE (Id: S-15776),73,7.0,10.428571428571429
SHRI BHARATHI TEACHER TRAINING INSTITUTE ROYAKOTTAH (Id: S-8271),0,6.0,0.0
SHRI BHAWANI NIKETAN POLYTECHNIC (Id: S-14949),310,30.0,10.333333333333334
Shri Chamatkari Santji College of Nursing Girawar (Id: S-3821),144,13.0,11.076923076923077
SHRI CHANNABASAVESHWAR PARAMEDICAL COLLEGE (Id: S-18915),18,7.0,2.5714285714285716
SHRI CHATRAPATI SHAHU JUNIOR COLLEGE OF EDUCATION RUKADU KOLHAPUR (Id: S-9965),53,4.0,13.25
SHRI CHATRAPATI SHIVAJI MAHARAJ SHIKSHAN SANSTHA LOHA NANDED (Id: S-9966),0,1.0,0.0
SHRI CHINTAMANI MAHILA EDUCATION SOCIETY YUVAKALYAN D. ED. COLLEGE AMLNER JALGAON (Id: S-9971),0,0.0,
SHRI C.K.MEHTA COLLEGE OF PRIMARY EDUCATION BANASKANTHA (Id: S-6038),46,5.0,9.2
SHRI DADA GANESH SANSKRITIK KRIDA & VIDYAPRASARAK MITRA MANDAL DHADGAON NANDURBAR (Id: S-9973),32,6.0,5.333333333333333
SHRI DADASAHEB GAWAI CHARITABLE TRUST KAMAL PUSPA AMRAVATI (Id: S-9974),63,3.0,21.0
SHRI DATA SAI NURSING SCHOOL KOLAR (Id: S-4286),127,5.0,25.4
SHRI DATTA GURU COLLEGE OF EDUCATION (D.Ed) khadki (Id: S-14978),90,7.0,12.857142857142858
SHRI DATTA SCHOOL OF NURSING SAGAON (Id: S-18186),40,2.0,20.0
SHRI DATTA SHIKSHAN PRASARK MANDAL PANHALA KOLHAPUR (Id: S-9975),30,6.0,5.0
"SHRI DATTATRAYA PRABHU BAHU,SHIKSHAN SANSTHA,SHREE DATTA NURSING SCHOOL (Id: S-17836)",60,7.0,8.571428571428571
"SHRI DAYAMAN INSTITUTE OF NURSING, JAMNAGAR (Id: S-14738)",54,11.0,4.909090909090909
SHRI DEOPUR VIDHAYAK SAMITI WALWADI (Id: S-9977),47,6.0,7.833333333333333
SHRIDEVI POLYTECHNIC (Id: S-1438),467,72.0,6.486111111111111
"SHRI DEVI SAURAM SINGH EDUCATION INSTITUTE VILL AND POST PAINDHAT, JASRANA, FIROZABAD (Id: S-14048)",188,16.0,11.75
SHRIDEVI SCHOOL OF NURSING TUMKUR (Id: S-4292),186,31.0,6.0
"SHRI DEVI WOMEN POLYTECHNIC, HANUMANGARH (Id: S-2669)",67,22.0,3.0454545454545454
SHRI DHANESHWARI MANAV VIKAS MANDAL COLLEGE OF WOMEN TULSI ARCADE AURANGABAD (Id: S-9978),91,10.0,9.1
SHRI DHANESHWARI MANAV VIKAS MANDALS SAKRI DHULE (Id: S-9979),40,6.0,6.666666666666667
"Shri Dhaneshwari RGNM Nursing School, Aurangabad (Id: S-17979)",39,11.0,3.5454545454545454
SHRI DHEER SINGH D.ED COLLEGE GORMI BHIND (M.P.) (Id: S-17000),161,16.0,10.0625
SHRI DIGAMBER JAIN ADARSH MAHILA SANSKRIT PRASHIKSHAN VIDYALAYA (Id: S-7637),200,10.0,20.0
SHRI D M MEHTA & SMT S D MEHTA MAHILA PTC COLLEGE DHROL (Id: S-11151),23,4.0,5.75
SHRI DUTTA NAVAYUVAK SHIKSHAN PRASARAK MANDAL VAIJAPUR AURANGABAD (Id: S-9982),90,7.0,12.857142857142858
SHRI GAJANAN MAHARAJ SHIKSHAN SANSTHA MONDA NAGPUR (Id: S-9984),54,6.0,9.0
"Shri Gajanan Mauli Sevabhavi Sansthas, Jijamata Nursing School, Sayane (BK) (Id: S-18117)",94,12.0,7.833333333333333
SHRI GANESH SHIKSHAN PRASARAK MANDAL PU. AHILAYADEVI D. ED. COLLEGE AHMEDPUR LATUR (Id: S-9985),23,6.0,3.8333333333333335
SHRI G.G.MEHTASTREE ADHYAPAN MANDIR BANSKANTHA (Id: S-6040),60,5.0,12.0
SHRI GIRRAJ MAHARAJ POLYTECHNIC COLLEGE (Id: S-3384),1356,76.0,17.842105263157894
"SHRI GOKUL VERMA GOVERNMENT POLYTECHNIC COLLEGE, BHARATPUR (Id: S-2671)",440,26.0,16.923076923076923
SHRI GOMATESH EDUCATION SOCIETY'S INSTITTUTE OF NURSING BELGAUM (Id: S-4287),122,14.0,8.714285714285714
SHRI GORAKSHA SCHOOL OF NURSING KHAMGAON (ANM and GNM) (Id: S-17072),100,11.0,9.090909090909092
SHRI GURUDEV SHIKSHAN PRASARAK MANDAL HAMULAL ADHYAPAK VINCHUR SOLAPUR (Id: S-9990),16,3.0,5.333333333333333
"SHRI GURU HARGOBIND SAHIB GOVERNMENT POLYTECHNIC COLLEGE, RANWAN (Id: S-14429)",177,21.0,8.428571428571429
SHRI GURUNANAK KHALSA SHIKSHAK PRASHIKSHAN MAHAVIDYALAYA (Id: S-7639),95,16.0,5.9375
"Shri Guru Teg Bahadur Nursing Institute, Balloh (Id: S-18205)",66,12.0,5.5
"SHRI GURU TEG BAHUDUR COLLEGE OF EDUCATION, PLOT NO 34 VILLAGE HARIGARH (Id: S-17520)",83,6.0,13.833333333333334
SHRI HARILAL BHAGWATI MUNICIPAL GEN HOSPITAL MUMBAI (Id: S-4819),56,7.0,8.0
SHRI HARYANA SHEKAWATI BRAHMACHARYA BHIWANI (Id: S-6205),81,8.0,10.125
SHRI H. V. P. MANDAL JUNIOR COLLEGE OF EDUCATION AMRAVATI AMRAVATI (Id: S-9992),86,4.0,21.5
SHRI JAIN ADARSH KANYA SHIKSHAK PRASHIKSHAN MAHAVIDYALAYA BIKANER (Id: S-7640),100,7.0,14.285714285714286
SHRI JAIN VIDYA PRASARAK MANDAL CHINCHWAD GAON PUNE (Id: S-9994),51,9.0,5.666666666666667
"SHRI JAWAHAR WOMAN POLYTECHNIC COLLEGE, DAUSA (Id: S-2675)",25,15.0,1.6666666666666667
SHRI JAYRAMSETH CHAUDHARI INSTITUTE OF NURSING EDUCATION AND PARA MEDICAL SCIENCES MURBAD (Id: S-16126),90,4.0,22.5
SHRI JAY SINGH CHOTE SAHAB COLLEGE OF PHARMACY (Id: S-19080),125,6.0,20.833333333333332
SHRI JAY SINGH PHARMACY COLLEGE (Id: S-19081),110,7.0,15.714285714285714
SHRI J G CO-OPERATIVE HOSPITAL & RESEARCH BELGAUM (Id: S-4289),145,11.0,13.181818181818182
SHRI KAHANYALAL MAHARAJ TRUST SAMODE AKRI DHULE (Id: S-9995),60,8.0,7.5
SHRI KALIDAS EDUCATIONAL SOCIETY BIJAPUR (Id: S-6680),41,5.0,8.2
SHRI KALIDAS EDUCATION SOCIETY BAGALKOT (Id: S-6679),12,8.0,1.5
SHRI KALMESHWAR TEACHERS TRAINING INSTITUTE BELGAUM (Id: S-6682),0,2.0,0.0
SHRI KANIFNATH SHIKSHAN SANSTHAS ADHYAPAK VIDYALAYA D. ED. COLLEGE PATHARDI AHMEDNAGAR (Id: S-9998),0,2.0,0.0
SHRI KASAMJI SAVABHAVI SANSTHA K. M. D. ED. COLLEGE AMBAJOGAI BEED (Id: S-9999),31,6.0,5.166666666666667
SHRI KASHI SHIKSHAN PRASARAK MANDALS SAI NURSING SCHOOL SHEVGAON (Id: S-18498),20,3.0,6.666666666666667
SHRI KASHI VISHWESHWAR SHIKSHAN PRASARAK MANDAL AKALKOT SOLAPUR (Id: S-10000),80,7.0,11.428571428571429
SHRI K.D.BARAD SMARAK TRUST JUNAGADH (Id: S-6050),31,3.0,10.333333333333334
SHRI K.H.DESAI PURUSH ADHYAPAN MANDIR VALSAD (Id: S-6051),31,9.0,3.4444444444444446
SHRI K.R.HUKKERI VIDYA VARDHAK SANGH BELGAUM (Id: S-6678),67,8.0,8.375
SHRI KRISHNA ADYAPAK VIDYALAYA SAONER SAONER NAGPUR (Id: S-10004),99,7.0,14.142857142857142
SHRI KRISHNAA POLYTECHNIC COLLEGE - (Id: S-2987),371,58.0,6.396551724137931
"SHRI KRISHNA COLLEGE OF NURSING EDUCATION, JOHNMANI DAULA BAGHPAT (Id: S-18650)",77,9.0,8.555555555555555
SHRI KRISHNA DUTT ACADEMY (Id: S-15774),300,25.0,12.0
shri krishna institute of bhartiya ayurvedic aushdhe (Id: S-17101),57,7.0,8.142857142857142
"SHRI KRISHNA MEDICAL COLLEGE & HOSPITAL, MUZAFFARPUR (Id: S-3721)",180,11.0,16.363636363636363
SHRI KRISHNA POLYTECHNIC COLLEGE (Id: S-15182),33,36.0,0.9166666666666666
SHRI KRISHNA POLYTECHNIC. RATTAN DERA ROAD (Id: S-1076),102,46.0,2.217391304347826
SHRI K R PANDAV COLLEGE OF NURSING AND HOSPITAL NEW NANDANVAN NAGPUR (Id: S-18953),60,11.0,5.454545454545454
SHRIKRUSHNA DED COLLEGE KOKANA (Id: S-14959),37,7.0,5.285714285714286
SHRI LAL BAHADUR SHASTRI NURSING INSTITUTE JODHPUR (Id: S-5182),162,20.0,8.1
SHRI LAXMANRAO JARKIHOLI POLYTECHNIC GOKAK (Id: S-18637),173,18.0,9.61111111111111
SHRI LAXMI VENKATESWARA SCHOOL OF NURSING CHITRADURGA (Id: S-4290),125,11.0,11.363636363636363
SHRI LOHANA STHAPIT MAHILA ADHYAPAN MANDIR RAJKOT (Id: S-6057),175,8.0,21.875
SHRI MAA SHARDA ADHYAPAN MANDIR PTC COLLEGE SURENDRANAGAR (Id: S-6061),43,5.0,8.6
SHRI MAA SHARDA SCHOOL OF NURSING JORAVARNAGAR (Id: S-16993),40,4.0,10.0
SHRI MADHAO BAHU-UDDESHIYA SHIKSHAN SANSTHA SHRI MADHORAO BHOYAR ADHAYAPAK VIDYALAYA DAWANIWADA GONDIA (Id: S-10263),60,7.0,8.571428571428571
SHRI MAHALAXMI MAHILA BASIC SCHOOL TRAINING COLLEGE (Id: S-16618),97,7.0,13.857142857142858
Shri Maharshi Dayanand Saraswati Nursing School (Id: S-17650),26,3.0,8.666666666666666
"SHRI MAHAVIR COLLEGE OF EDUCATION RAJPUR KOTEA, FIROZABAD (Id: S-14049)",63,16.0,3.9375
"SHRI MAHAYOGINI MATA MANIKESHWARI D ED COLLEGE, MANIKAGIRI GUL (Id: S-13647)",33,8.0,4.125
SHRI MAHESH BAHUUDDESHIYA SANSTHA SHRI MAHESH D ED BULDANA BULDHANA (Id: S-10007),0,7.0,0.0
SHRI MAHILA ADHYAPAN MANDIR SAVARKUNDLA (Id: S-11157),116,4.0,29.0
SHRI M.A.MEHTA MUNICIPAL MAHILA ADHYAPAN MANDIR JAMNAGAR (Id: S-6058),63,4.0,15.75
SHRIMANT RAJE DAULATSINGHJI RAWAL SHINDKHEDA DHULE (Id: S-10079),6,3.0,2.0
SHRI MARUDHAR KESRI BALIKA SANSKRIT SHIKSHAK PRASHIKSHAN VIDYALAYA (Id: S-18199),199,5.0,39.8
SHRI MATI CHANDRAWAL GUPTA MAHILA SHIKSHAK PRASHIKSHAN MAHAVIDYALAYA SIROHI (Id: S-7645),98,8.0,12.25
SHRI MATSYA ELEMENTRY TEACHER TRAINING INSTITUTE (Id: S-7646),96,6.0,16.0
SHRI M L DOSHI MAHILA ADHYAPAN MANDIR SURENDRANAGAR (Id: S-11155),85,5.0,17.0
SHRI MOTI SMRITI INSTITUTE OF TECNOLOGY (Id: S-16027),564,28.0,20.142857142857142
"SHRI MURUGHARAJENDRA D.ED. COLLEGE KUSNOOR ROAD, GULBARGA (Id: S-12585)",21,6.0,3.5
SHRI NANALAL BHANUSHANKAR VYAS PTC COLLEGE AMRELI (Id: S-15269),2,2.0,1.0
"SHRINATH COLLEGE OF NURSING, ALIRAJPUR (Id: S-15466)",320,25.0,12.8
SHRINATH INSTITUTE OF PARAMEDICALK SCIENCES (Id: S-16799),36,3.0,12.0
SHRI NAVYUG P.T.C. COLLEGE - KESHOD (Id: S-16932),25,3.0,8.333333333333334
SHRI NYALKARAN NURSING COLLEGE (Id: S-17753),70,7.0,10.0
SHRI PANDURANG KRIPA BAHUUDDESHIYA SHIKSHAN PRASARAK SANSTHA SHRIGONDA AHMEDNAGAR (Id: S-10011),20,8.0,2.5
SHRI PUKHRAJ NAGRAJ RANKA SCHOOL OF NURSING PUNE (Id: S-16109),21,3.0,7.0
SHRI RADHESHYAM P.T.C. COLLEGE (Id: S-16961),38,7.0,5.428571428571429
SHRI RAGHUNATH ELEMENTRY TEACHER EDUCATION INSTITUTE SIKAR (Id: S-7648),93,7.0,13.285714285714286
SHRI RAJARAM MEMORIAL COLLEGE OF NURSING AND PARAMEDICIAL (Id: S-19063),37,8.0,4.625
SHRI RAJIBEN GANDALAL GENERAL NURSING SCHOOL MEHSANA (Id: S-3800),111,13.0,8.538461538461538
SHRI RAMA KRISHNA COLLEGE OF POLYTECHNIC AND MANAGEMENT (Id: S-16152),394,40.0,9.85
"SHRI RAMANAs ABC POLYTECHNIC COLLEGE PALAM RAJAKKAPATTI, DINDIGUL (Id: S-12787)",494,39.0,12.666666666666666
SHRIRAM ASEGAONKAR JUNIOR COLLEGE OF EDUCATION PUSAD YAVATMAL (Id: S-10081),23,6.0,3.8333333333333335
"SHRI RAMDAS ATHWALE COLLEGE OF EDUCATION, SOLAPUR (Id: S-12504)",52,4.0,13.0
SHRI RAMDEVI RAMDAYAL TRIPATHI GIRLS POLYTECHNIC (Id: S-3388),358,23.0,15.565217391304348
SHRIRAM EDUCATION SOCIETY DHAMANGAON AMRAVATI (Id: S-10082),12,4.0,3.0
Shri Ram Group of Colleges (Id: S-15177),467,32.0,14.59375
SHRI RAM INSTITUTE OF EDUCATION and TECHNOLOGY (Id: S-17302),198,8.0,24.75
SHRI RAM POLYTECHNIC (Id: S-3387),771,88.0,8.761363636363637
Shrirampur Nursing School (Id: S-18105),18,5.0,3.6
"SHRI RAWATPURA SARKAR INSTITUTE, DHANELI (Id: S-12468)",64,7.0,9.142857142857142
Shri Rawatpura Sarkar Institute of Modern Education - Dhaneli (Id: S-16200),66,7.0,9.428571428571429
Shri Rawatpura Sarkar Institute Village Pacheda Post Kurru Near Muktangan Champaran Road Atal Nagar (Id: S-19396),88,8.0,11.0
"SHRI RAWATPURA SARKAR LOK KALYAN TRUSTs SHRI RAWATPURA SARKAR INSTITUTE, DURG (Id: S-12449)",92,9.0,10.222222222222221
SHRI RISHIKESH SHIKSHAN PRASARAK MANDALS SHRI D D VISPUTE COLLEGE OF NURSING  NEW PANVEL (Id: S-17828),82,9.0,9.11111111111111
SHRI R.N.MEMORIAL MAHILA STC (Id: S-7647),100,9.0,11.11111111111111
SHRI SADGURU BALUMAMA SHIKSHAN MANDAL D. ED. COLLEGE BHUDARGAD KOLHAPUR (Id: S-10018),39,6.0,6.5
SHRI SAI BABA BHAKTA MANDAL MHASAWAD SHAHADA NANDURBAR (Id: S-10019),38,6.0,6.333333333333333
Shri Saibaba Nursing School (ANM) Kolpewadi (Id: S-16440),77,9.0,8.555555555555555
SHRI SAI BABA POLYTECHNIC COLLEGE (Id: S-16360),2,7.0,0.2857142857142857
"Shri Saibaba Shikshan Prashikshan Sansthan, Burhanpur (Id: S-14084)",125,16.0,7.8125
SHRI SAI INSTITUTE OF NURSING SCHOOL RANM BORI (Id: S-18976),32,1.0,32.0
SHRI SAI INSTITUTE OF TECHNOLOGY RATLAM (Id: S-7309),93,8.0,11.625
"Shri Sai Nursing School, Jalna (Id: S-17980)",30,11.0,2.727272727272727
"SHRI SAI SCHOOL OF NURSING ARMORI, GADCHIROL (Id: S-17861)",20,4.0,5.0
SHRI SAI SCHOOL OF NURSING UMRED (Id: S-15821),100,9.0,11.11111111111111
SHRI SAI SHIKSHAN SANSTHA SHRI RANJITSINHA MOHITE PATIL D. ED. COLLEGE WASHIM WASHIM (Id: S-10023),54,4.0,13.5
SHRI SAI VIDYAPEETH (Id: S-16469),157,23.0,6.826086956521739
SHRI SANATAN DHARAM INSTITUTE OF PHARMACY & MEDICAL TECHNOLOGY (Id: S-1079),146,14.0,10.428571428571429
SHRI SANKET PATEL MEMORIAL NURSING COLLEGE (Id: S-16992),41,4.0,10.25
SHRI SATYASAI ADIVASI GRAMIN VIKAS VA BAHU-UDDESIYASHIKSHAN SANSTHA BHAGAWANRAO ADHYAPAK V C O N. P. WAGHAYE B. ED. COLLEGE ARMORI ARMORI GADCHIROLI GADCHIROLI (Id: S-10041),0,5.0,0.0
SHRI SHAHU SHIKSHAN PRASARAL MANDALS D. ED. COLLEGE RANKALA KOLHAPUR (Id: S-10044),37,6.0,6.166666666666667
SHRI SHAMGIR SHIKSHAN SANSTHA SHRI SHAMGIR ADHYAPAK NILANGA LATUR (Id: S-10045),79,8.0,9.875
SHRI SHAMRAO PATIL ADHYAPAK VIDYALAYA HATKANANGALE KOHLAPUR (Id: S-10047),24,7.0,3.4285714285714284
SHRI SHARDA BHAWAN EDUCATION SOCIETY NANDED NANDED (Id: S-10049),83,11.0,7.545454545454546
SHRI SHIKSHAN SADHNA STRI ADHYAPAN MANDIR PTC COLLEGE AHMEDABAD (Id: S-11162),49,4.0,12.25
SHRI SHIVAJI EDUCATION AND KRISHI PRATISHTHAN SHAHADA DHULE (Id: S-10051),48,7.0,6.857142857142857
SHRI SHIVAJI JR. OOF COLLEGE OF EDUCATION AMRAVATI AMRAVATI AMRAVATI (Id: S-10052),68,4.0,17.0
SHRI SHIVAJI JR. VOLLEGE OF EDUCATION PUSAD YAVATMAL (Id: S-10053),71,7.0,10.142857142857142
SHRI SHIVAJI JUNIOR COLLEGE OF EDUCATION CHIKHALI BULDHANA (Id: S-10056),90,5.0,18.0
SHRI SHIVAJI JUNIOR COLLEGE OF EDUCATION ISLAMPUR SANGLI (Id: S-10054),50,5.0,10.0
SHRI SHIVAJI JUNIOR COLLEGE OF EDUCATION NEHRU NAGAR SOLAPUR (Id: S-10055),62,8.0,7.75
SHRI SHIVSHKTI DHAM PTC COLLEGE & CHARITABLE TRUST NAVSARI (Id: S-6072),50,7.0,7.142857142857143
SHRI SHYAM SHIKSHAK PRASHIKSHAN VIDYALAYA HANUMANGARH (Id: S-7649),190,11.0,17.272727272727273
Shri Siddhi Balaji School of Nursing (Id: S-15733),148,9.0,16.444444444444443
SHRI SIDDHI NURSING SCHOOL MURGUD TAL-KAGAL DIST-KOLHAPUR (Id: S-17971),38,4.0,9.5
"SHRI SIDDHI VINAYAK POLYTECHNIC, NAINITAL ROAD, BAREILLY (Id: S-13965)",1429,101.0,14.148514851485148
"SHRI SIDDHI VINAYAK SCHOOL OF NURSING, NAINITAL ROAD, BAREILLY (Id: S-13964)",180,16.0,11.25
SHRI SITHESWARAR POLYTECHNIC COLLEGE (Id: S-2988),863,44.0,19.613636363636363
Shri S L Saini Memorial College of Paramedical Sciences (Id: S-19363),97,13.0,7.461538461538462
SHRI SUBHAS NAGUR MEMORIAL POLYTECHNIC BIJAPUR (Id: S-1435),277,24.0,11.541666666666666
SHRI SURESHDADA DESHMUKH INSTITUTE OF NURSING (Id: S-18056),40,5.0,8.0
SHRI SWAMIJI MAHARAJ COLLEGE OF NURSING DATIA (Id: S-4716),367,39.0,9.41025641025641
"Shri Swami Samarth Institute of Pharmacy, Malwadi Bota (Id: S-18496)",60,4.0,15.0
SHRI SWAMI SAMARTH NURSING SCHOOL (Id: S-18978),16,4.0,4.0
Shri Swami Samarth Nursing School Ner Dist-Yavatmal (Id: S-17032),40,4.0,10.0
SHRI SWAMI VIVEKANAND SCHOOL OF NURSING BEED (Id: S-4820),98,4.0,24.5
"SHRI TIRUPATI BALAJI POLYTECNIC COLLEGE, KOTA (Id: S-2678)",209,30.0,6.966666666666667
SHRI TRIDANDIDEO HANUMAT TECHNICAL COLLEGE (Id: S-15356),534,24.0,22.25
SHRI TULJABHAVANI BAHUUDDESHIY SAMAJ SEVA SANSTHA MADHA SOLAPUR (Id: S-10065),42,6.0,7.0
SHRI TUYLIJABHAVANI JUNIOR COLLEGE OF EDUCATION TULIJAPUR OSMANABAD (Id: S-10067),72,6.0,12.0
SHRI UDAJIRAO JR. COLLEGE OF EDUCATION GARGOTI KOLHAPUR (Id: S-10068),68,6.0,11.333333333333334
SHRI U J BARAD PTC COLLEGE SUTRAPADA (Id: S-11166),22,3.0,7.333333333333333
SHRI ULAVI CHANNABASAVESHWAR POLYTECHNIC (Id: S-1436),60,11.0,5.454545454545454
SHRI UTAGANOOR BASAVALINGA TATA EDN. TRUST RAICHUR (Id: S-6702),0,7.0,0.0
Shri Uttarakhand Ayurvedic Bhaisjya Kalpak (Pharmacist) Prashikshan Vidhyalay (Id: S-17095),120,6.0,20.0
"Shri Vasant Barahate Jr.College of Education,Bramangaon (Id: S-15069)",20,5.0,4.0
SHRI VASUDEV BASIC TEACHER TRAINING INSTITUTE MORENA (Id: S-7314),196,16.0,12.25
SHRI VENKATESHA SHIKSHAN PRASARAK MANDAL JUNIOR COLLEGE OF EDUCATION AURANGABAD AURANGABAD (Id: S-10072),75,4.0,18.75
SHRI VIJAYA MAHANTESH VIDYAVARDHAK SANGHA BAGALKOT (Id: S-6705),7,6.0,1.1666666666666667
SHRI VITTALAI CHARITABLE TRUST RADHANAGRI KOLHAPUR (Id: S-10076),41,6.0,6.833333333333333
SHRI VIVEKANAND INSTITUTE OF NURSING AHMEDNAGAR (Id: S-4821),113,14.0,8.071428571428571
SHRUSHTI SCHOOL OF NURSING (Id: S-4387),140,12.0,11.666666666666666
"SHRUTHI SCHOOL OF NURSING, VANASTHALIPURAM, HYDERABAD (Id: S-13280)",110,4.0,27.5
"SHRUTI NURSING SCHOOL,WADALA MAHADEV,SHRIRAMPUR (Id: S-17923)",97,15.0,6.466666666666667
SH. SHIVAJI D. ED. COLLEGE WASHIM WASHIM (Id: S-9883),123,9.0,13.666666666666666
SHUSHRUSHA SCHOOL OF NURSING (Id: S-19094),60,16.0,3.75
SHUSHRUTI SCHOOL OF NURSING BANGALORE (Id: S-4295),190,29.0,6.551724137931035
"SHYAMA DEVI COLLEGE OF EDUCATION, MAIN ROAD MEHGAWN, RAISEN (Id: S-17368)",85,9.0,9.444444444444445
"SHYAMA SHYAM TEACHERS TRAINING COLLEGE, AGRA (Id: S-14764)",308,30.0,10.266666666666667
shyampahari Govt PTTI (Id: S-19353),100,2.0,50.0
SIDANA POLYTECHNIC COLLEGE (Id: S-2516),131,36.0,3.638888888888889
SIDDAGANGA POLYTECHNIC TUMKUR (Id: S-1439),922,62.0,14.870967741935484
"SIDDARTHA D ED COLLEGE, K.No. 197&198, Urella Road, Devuni Erravally (V&P),Chevella (M), Rangareddy District (Id: S-14690)",33,8.0,4.125
"SIDDARTHA SCHOOL OF NURSING, CHAITANYA NAGAR, VISAKHAPATNAM (Id: S-12934)",119,2.0,59.5
"SIDDARTHA SCHOOL OF NURSING, GANDHI NAGAR, KAKINADA, EAST GODAVARI DISTRICT (Id: S-12979)",84,1.0,84.0
SIDDARTHA TEACHERS TRAINING INSTITUTE CHAMARAJANAGAR (Id: S-6711),0,5.0,0.0
SIDDARTHA TEACHER TRAINING INSTITUTE TUMKUR (Id: S-6710),11,3.0,3.6666666666666665
"Siddhagiri Nursing Institute, Kaneri (Id: S-18111)",38,5.0,7.6
"Siddhakala School of Nursing, Pimparne Road, Sangamner Khurd, (Id: S-17092)",120,14.0,8.571428571428571
"Siddharatha College of Elementary Teacher Education, Pentakota Road, Tuni, East Godavari-533401. (Id: S-13341)",54,8.0,6.75
SIDDHARTHA INSTITUTE OF ENGG. & TECH. (POLY) EKTAGUDA (Id: S-2374),422,23.0,18.347826086956523
SIDDHARTHA INSTITUTE OF TECHNOLOGY AND SCIENCE (II Shift Diploma College) (Id: S-16563),886,60.0,14.766666666666667
"SIDDHARTH INSTITUTE OF TECHNOLOGY, JAIPUR (Id: S-2680)",583,85.0,6.858823529411764
SIDDHIS INSTITUTE OF PHARMACY (Id: S-18938),60,4.0,15.0
"SIDDHI VINAYAK INSTITUE OF NURSING, DAKOR (Id: S-14739)",134,7.0,19.142857142857142
"Siddhi Vinayak Polytechnic, Alwar (Id: S-14896)",268,28.0,9.571428571428571
Siddhivinayak school of nursing (Id: S-15690),128,14.0,9.142857142857142
SIDDIVINAYAK SHIKSHAN PRASARAK MANDALS R. K. D. ED. BHANDUP(W) MUMBAI (Id: S-10087),13,4.0,3.25
SIDHEEQUIYA ISLAMIC CENTRE MALAPURAM (Id: S-7115),98,8.0,12.25
SIDHI VINAYAK NURSING SCHOOL (Id: S-15116),90,9.0,10.0
SIDHU KANHU BIRSA POLYTECHNIC PASCHIM MEDINIPUR (Id: S-10954),360,15.0,24.0
SIDHU SCHOOL OF NURSING LUDHIANA (Id: S-5031),73,21.0,3.4761904761904763
S I E M S School of Nursing (Id: S-15664),170,16.0,10.625
S.I.E.S. COLLEGE OF MANAGEMENT STUDIES (Id: S-245),409,25.0,16.36
SIGA POLYTECHNIC COLLEGE EGMORE (Id: S-2989),185,7.0,26.428571428571427
Sigma College of Pharmacy (Id: S-17674),88,11.0,8.0
SIGMA INSTITUTE OF NURSING VADODARA (Id: S-3801),149,6.0,24.833333333333332
SIGNA COLLEGE OF NURSING (Id: S-18232),72,9.0,8.0
SIKINDER MOHASEEN (SM) SCHOOL OF NURSING (Id: S-15889),111,1.0,111.0
SILCHAR POLYTECHNIC MEHERPUR SILCHAR-788005 (Id: S-697),606,41.0,14.78048780487805
SILIGURI GOVERNMENT POLYTECHNIC DARJEELING (Id: S-10955),893,35.0,25.514285714285716
SILIGURI PRIMARY TEACHERS  TRAINING COLLEGE (Id: S-17350),200,21.0,9.523809523809524
SILLI POLYTECHNIC (Id: S-16222),690,64.0,10.78125
Silver Oaks College of Education (D.El.Ed) (Id: S-15902),166,5.0,33.2
SILVER OAKS SCHOOL OF NURSING MOHALI (Id: S-5033),261,29.0,9.0
S I M S SCHOOL OF NURSING GUNTUR (Id: S-3595),178,20.0,8.9
Simulgachi Primary Teachers Traning Institute (Id: S-16916),100,10.0,10.0
SINDHUDURG EDUCATION SOCIETY BHANDUP (WEST) MUMBAI (Id: S-10089),85,6.0,14.166666666666666
SINGARENI COLLIERIES POLYTECHNIC (Id: S-628),820,42.0,19.523809523809526
SINGARENI COLLORIES COMPANY LTD HOSPITAL KHAMMAM (Id: S-3616),46,8.0,5.75
"Singha College of Pharmacy, Jalandhar (Id: S-14936)",84,7.0,12.0
Singha Nursing College (Id: S-15688),78,19.0,4.105263157894737
SINGHI INSTITUTE OF NURSING AHMEDABAD (Id: S-3802),159,16.0,9.9375
SINGH LIFE CARE NURSING AND PARAMEDICAL SCHOOL (Id: S-17557),104,7.0,14.857142857142858
