Institution,UgMale,UgFemale,DMale,FemaleD,CMale,CFemale,IMale,IFemale
MUZAFFARNAGAR PARAMED NURSING COLLEGE MUZAFFARNAGAR (Id: S-5445),72,80,76,220,0,0,0,0
MVGs INSTITUTE OF PHARMACY (D. PHARMA) (Id: S-16006),0,0,59,58,0,0,0,0
M V J POLYTECHNIC BANGALORE-67 (Id: S-1351),0,0,326,62,0,0,0,0
M V J SCHOOL OF NURSING BANGALORE URBAN (Id: S-4122),0,0,30,127,0,0,0,0
M.V.P RURAL POLYTECHNIC HAUNSABHAVI (Id: S-1353),0,0,442,37,0,0,0,0
"MVR College of Engg and Tech, Shift-II Polytechnic, Paritala,Kanchikacherla Mandal (Id: S-16189)",0,0,237,47,0,0,0,0
M V R INSTITUTE OF TEACHER TRAINING (Id: S-16380),0,0,12,22,0,0,0,0
MY INSTITUTE TEACHERS TRAINING INSTITUTE BANGALORE (Id: S-6529),0,0,2,28,0,0,0,0
"M.Y. PATEL SCHOOL OF NURSING, ATKOT (Id: S-13990)",5,109,0,112,0,0,0,0
"MYTHRI SCHOOL OF NURSING, BHEMARAM, WARANGAL (Id: S-13173)",0,0,11,33,0,0,0,0
MYTHRI SCHOOL OF NURSING HYDERABAD- (Id: S-3563),0,0,19,27,0,0,0,0
MYTHRI SCHOOL OF NURSING SHIMOGA (Id: S-4159),0,0,8,49,0,0,0,0
Nabapravat School of Nursing (Id: S-15437),0,0,0,40,0,0,0,0
NACHIAPPA SWAMIGAL POLYTECHNIC COLLEGE KOVILOOR (Id: S-2889),0,0,729,26,0,0,0,0
NACHIMUTHU POLYTECHNIC COLLEGE POLLACHI (Id: S-2890),0,0,1612,208,0,0,0,0
"NADAR MAHAJANA SANGAM VIMALA CHELLADURAI POLYTECHNIC COLLEGE, MALLAMPALAYAM, DHARAPURAM (Id: S-13954)",0,0,59,5,0,0,0,0
"NADAR MAHASANASANGAM TEACHER TRAINING INSTITUTE, NAGAMALAI, MADURAI (Id: S-13899)",0,0,0,0,0,0,0,0
NADGIR POLYTECHNIC BANGALORE (Id: S-1372),0,0,230,26,0,0,0,0
NADIA PRIMARY TEACHERS TRAINING INSTITUTE (Id: S-16498),0,0,98,102,0,0,0,0
NAGA HOSPITAL KOHIMA (Id: S-4853),0,0,43,33,0,0,0,0
NAGALAND TOOL ROOM AND TRAINING CENTRE (Id: S-14882),0,0,123,3,0,0,0,0
NAGAMMAI TEACHER TRAINING INSTITUTE PERIYAR NAGAR (Id: S-8121),0,0,0,37,0,0,0,0
"Nagarjuna College of Education (D.Ed),Nalgonda (Id: S-16278)",0,0,5,15,0,0,0,0
"NAGARJUNA COLLEGE OF TEACHER EDUCATION, RAGHAVENDRA VIDYA SAMITHI, 5-1-108/4/B, BANDAMEEDIPALLY, VALLABHNAGAR, MAHABUBNAGAR (Id: S-13421)",0,0,17,67,0,0,0,0
"Nagarjuna D.Ed., college, Vidyabhavan main road, Sattenapalli, Guntur-522403. (Id: S-13363)",0,0,49,35,0,0,0,0
NAGARJUNA SCHOOL OF NURSING KRISHNA (Id: S-3566),0,0,28,54,0,0,0,0
NAGA SIVA POLYTECHNIC COLLEGE VIRATHANOOR (Id: S-2892),0,0,1245,10,0,0,0,0
NAGNATH EDUCATION SOCIETY D. ED. COLLEGE HATKANANGLE KOLHAPUR (Id: S-9644),0,0,0,4,0,0,0,0
NAGRIK JR. COLLEGE OF EDUCATION MAHAL NAGPUR (Id: S-9645),0,0,3,29,0,0,0,0
"NAINA NURSING INSTITUTE, MUZAFFARPUR (Id: S-14808)",0,0,0,80,0,0,0,0
"NAIR SAMAJAM TTI MANNAR, ALAPPUZHA (Id: S-12418)",0,0,0,0,3,35,0,0
NAIRS TEACHER TRAINING INSTITUTE AMMANS NAGAR (Id: S-8122),0,0,0,6,0,0,0,0
NAI TALIM ADHYAPAN MANDIR SURAT (Id: S-5891),0,0,23,27,0,0,0,0
"NALANDA ANM NURSING, GARDHPUR, NALANDA (Id: S-14818)",0,0,0,80,0,0,0,0
Nalanda College of Pharmacy - D Pharmacy (Id: S-16569),0,0,43,41,0,0,0,0
NALANDA DIET COLLEG KURNOOL (Id: S-5634),0,0,34,66,0,0,0,0
NALANDA FOUNDATION POLYTECHNIC HUBLI (Id: S-1373),0,0,51,22,0,0,0,0
NALANDA INSTITUTE OF TECHNOLOGY CHANDAKA BHUBANESWAR (Id: S-2348),0,0,398,25,0,0,0,0
NALANDA TEACHER TRAINING INSTITUTE MAHABUBNAGAR (Id: S-5635),0,0,34,30,0,0,0,0
"NALANDA TTI NANNIYODE, THIRUVANANTHAPURAM (Id: S-12128)",0,0,8,56,0,0,0,0
NALBARI POLYTECHNIC (Id: S-17580),0,0,262,20,0,0,0,0
NALHATI GOVERNMENT POLYTECHNIC (Id: S-15188),0,0,415,39,0,0,0,0
N A MANJAMMAL POLYTECHNIC COLLEGE RAJAPALAYAM (Id: S-2883),0,0,414,32,0,0,0,0
NAMDEOJAGTAPADHYAPAK VIDYALAYA KARMALA SOLAPUR (Id: S-9647),0,0,10,32,0,0,0,0
Namitadevi School of Nursing (Id: S-15444),0,0,0,60,0,0,0,0
"NANCY POLYTECHNIC COLLELGE, PATIALA (Id: S-2479)",0,0,335,38,0,0,0,0
"NANDA AAI BAHU UDDESHIY MAHILA MANDALS, NURSING TRAINING CENTER (Id: S-18015)",0,0,0,25,0,0,0,0
NANDA HOSPITAL UNA (Id: S-3868),0,0,0,73,0,0,0,0
"Nandatai lohave school of Nursing, Wardha (Id: S-17795)",0,0,0,40,0,0,0,0
NANDHA POLYTECHNIC COLLEGE VEPPAMPALAYAM (Id: S-2893),0,0,1318,14,0,0,0,0
NANDHA TEACHER TRAINING INSTITUTE PITCHANDAM PALYAM (Id: S-8123),0,0,0,22,0,0,0,0
"NANDI  INSTITUTE OF NURSING SCIENCES,BAGALKOT (Id: S-4037)",0,0,65,113,0,0,0,0
NANDINI SCHOOL OF NURSING RAICHUR (Id: S-4165),0,0,56,82,0,0,0,0
NANJAMMA TEACHER TRAINING INSTI KOLAR (Id: S-6535),0,0,58,40,0,0,0,0
NANJAPPA INSTITUTE OF TECHNOLOGY KARUMATHAMPATTI (Id: S-2894),0,0,241,16,0,0,0,0
NANJAPPA TRUST HOSPITAL SHIMOGA (Id: S-4166),0,0,0,0,0,72,0,0
NANJIAH LINGAMMAL POLYTECH COLLEGE CHIKKADASAM PALAYAM (Id: S-2895),0,0,928,129,0,0,0,0
"NARAINA NURSING COLLEGE, KANPUR (Id: S-14163)",0,0,35,136,0,0,0,0
NARAINA POLYTECHNIC INSTITUTE (Id: S-17550),0,0,216,10,0,0,0,0
NARASIMMA PALLAVAN POLYTECHNIC COLLEGE THIMMA SAMUDRAM (Id: S-2896),0,0,577,36,0,0,0,0
NARASINGHAPUR PRIMARY TEACHER TRAINING INSTITUTE MURSHIDABAD (Id: S-8826),0,0,40,60,0,0,0,0
NARAYANA SCHOOL OF NURSING NELLORE (Id: S-3567),0,0,0,100,0,0,0,0
Narayana Teacher Training College (Id: S-14416),0,0,10,51,0,0,0,0
NARAYAN COLLEGE OF SCIENCE AND ARTS (Id: S-16973),0,0,0,0,29,70,0,0
NARAYANI INSTT. OF ENGG. & TECH. BANARPAL (Id: S-2349),0,0,2208,277,0,0,0,0
NARAYANI SCHOOL OF NURSING JAGATSINGHPUR (Id: S-4871),0,0,9,140,0,0,0,0
"NARAYAN NURSING COLLEGE, SASARAM (Id: S-13796)",0,0,127,162,0,0,0,0
NARMADA NURSING INSTITUTE (Id: S-18187),0,0,0,24,0,0,0,0
"NARSAPUR CHRISTIAN HOSPITAL, NARSAPUR, WEST GODAVARI (Id: S-12982)",0,0,0,79,0,0,0,0
NAS COLLEGE OF EDUCATION (DEEP EDUCATION SOCIETY) PALGHAR THANE (Id: S-9651),0,0,10,69,0,0,0,0
NASIK DISTRICT MARATHA VIDYA PRASARAK DINDORI NASIK (Id: S-9652),0,0,2,17,0,0,0,0
NASIK MEDICO TRAINING PVT LTD NASIK (Id: S-4788),0,0,23,122,0,0,0,0
NATHULAL DAS PRIMARY TEACHERS TRAINING INSTITUTE MURSHIDABAD (Id: S-8827),99,101,62,38,0,0,0,0
NATIONAL ACADEMY OF AGRICULTURE RESEARCH MANAGEMENT (Id: S-25),0,0,0,0,0,0,0,0
NATIONAL COLLEGE OF POLYTECHNIC (Id: S-1029),0,0,204,23,0,0,0,0
NATIONAL EDUCATION AND RESEARCH TRUST (Id: S-18208),0,0,30,70,0,0,0,0
"NATIONAL HEALTH LAW RESEARCH INSTITUTES, CHINGUAAI INSTITUTE OF NURSING EDUCATION,KAVATHE MAHANKAL, (Id: S-15825)",0,0,18,57,0,0,0,0
NATIONAL HOSPITAL SCHOOL OF NURSING KOZHIKODE (Id: S-4542),0,0,7,62,0,0,0,0
"NATIONAL INSTITUTE OF AGRICULTURAL EXTENSION MANAGEMENT, HYDERABAD (Id: S-14553)",0,0,0,0,0,0,0,0
"NATIONAL INSTITUTE OF BANK MANAGEMENT, PUNE (Id: S-14565)",0,0,0,0,0,0,0,0
"NATIONAL INSTITUTE OF DESIGN, AHEMADABAD (Id: S-8891)",215,176,0,0,0,0,0,0
National Institute of Occupational Health (Id: S-15086),0,0,0,0,0,0,0,0
National Institute of Pharmaceutical Education and Research (NIPER) - Ahmedabad (Id: S-17498),0,0,0,0,0,0,0,0
NATIONAL INSTITUTE OF POLYTECHNIC UDAYARPALAYAM (Id: S-2897),0,0,609,59,0,0,0,0
"NATIONAL INSURANCE ACADEMY, PUNE (Id: S-14750)",0,0,0,0,0,0,0,0
NATIONAL IT HANDWARA (Id: S-18145),0,0,170,70,0,0,0,0
NATIONAL IT KUPWARA (Id: S-17879),0,0,293,119,0,0,0,0
NATIONAL SCHOOL OF NURISNG THIRUVANANTHAPURAM (Id: S-4544),0,0,0,49,0,0,0,0
"NATIONAL SCHOOL OF NURSING, ADONI, KURNOOL DISTRICT (Id: S-13193)",0,0,0,120,0,0,0,0
"NATIONAL SCHOOL OF NURSING, AKOLA (Id: S-18106)",0,0,16,71,0,0,0,0
NATIONAL SCHOOL OF NURSING BANGALORE (Id: S-4168),0,0,49,80,0,0,0,0
NATIONAL SCHOOL OF NURSING PRAKASAM (Id: S-3570),0,0,0,130,0,0,0,0
"NATIONAL SUGER INSTITUTE, KANPUR (Id: S-8962)",0,0,0,0,100,2,0,0
NATIONAL URDU ADHYAPAK VIDYALAYA (URDU) AGRA ROAD KALYAN (Id: S-9653),0,0,1,23,0,0,0,0
NATIONAL URDU D. ED. COLLEGE SILLOD AURANGABAD (Id: S-9654),0,0,74,98,0,0,0,0
NATIONAL URDU GIRLS D. ED. COLLEGE NEAR POWER HOUSE JALNA (Id: S-9655),0,0,0,76,0,0,0,0
NATIONAL WOMENS WELFARE SOCIETY DARWHA YAVATMAL (Id: S-9656),0,0,0,2,0,0,0,0
NAVABHARATA EDN. & PLANTATION FARMERS SOCIETY DHARWAD (Id: S-6539),0,0,2,4,0,0,0,0
NAVABHARATHI COLLEGE OF EDUCATION (Id: S-15924),0,0,27,103,0,0,0,0
"Navabharathi College of Elementary Teacher Education, Mahbubnagar (Id: S-16329)",0,0,22,60,0,0,0,0
"NAVACHETHANA DED COLLEGE, BANGARPETE (Id: S-12364)",0,0,46,54,0,0,0,0
NAVAL BHAU PRATISHTHANS AMALNER JALGAON (Id: S-9658),0,0,0,0,0,0,0,0
"NAVALGUND TALUKA SHIKSHAN SAMITIS D.ED COLLEGE, NAVALGUND (Id: S-12627)",0,0,0,0,0,0,0,0
NAVAMBEY COLLEGE OF EDUCATION (Id: S-15192),1,3,24,52,0,0,0,0
"Navbharat Junior College of Education, Wardha (Id: S-14840)",0,0,1,6,0,0,0,0
NAVDEEP PTC COLLEGE DOLTABAD (Id: S-11088),0,0,2,0,0,0,0,0
Naveen Institute of Nursing (Id: S-18267),0,0,0,0,0,0,0,0
NAV GYAN INSTITUTE OF EDUCATION KOTHAL KALAN (Id: S-17290),0,0,25,25,0,0,0,0
NAVINBHAI SHAH PRATHISTAN SANGAMNER AHMEDNAGAR (Id: S-9660),0,0,38,60,0,0,0,0
NAVIN NURSING SCHOOL OSMANABAD (Id: S-17814),0,0,8,52,0,0,0,0
NAVIN OSMANABAD ZILLA BALVIKAS SAMITEE BANK COLONY OSMANABAD (Id: S-9659),0,0,3,8,0,0,0,0
NAVINRMAN PRATISHTHAN LATE KAKA SAHEAB RAMRAO VISHNU PATIL SAKRI DHULE (Id: S-9661),0,0,44,29,0,0,0,0
"NAVJEEVAN CO EDUCATION ELEMENTARY TT COLLEGE, SRIGANGANAGAR (Id: S-12548)",0,0,67,30,0,0,0,0
NAVJEEVAN EDUCATION SOCIETY BHANDUP MUMBAI (Id: S-9664),0,0,0,44,0,0,0,0
NAVJEEVAN EDU. SOCIETYS COLLEGE OF EDU. & RESEARCH KARJAT RAIGAD (Id: S-9663),0,0,0,0,0,0,0,0
Navjeevan nursing school chamorshi dist. gadchiroli (Id: S-15487),0,0,0,100,0,0,0,0
NAVJEEVAN SCHOOL OF NURSING DARJEELING (Id: S-5533),0,0,0,69,0,0,0,0
"Navjeevan School of Nursing, Shahapur (Id: S-16205)",0,0,0,97,0,0,0,0
NAVNEET BAHUDDESHIYA SANSTHAS KINKAR COLLEGE OF EDUCATION SELOO WARDHA (Id: S-9667),0,0,1,12,0,0,0,0
NAV PRATIBHA D. ED. COLLEGE NAGPUR AURVDIK COLLEGE AYODHYA NAGAR NAGPUR (Id: S-9657),0,0,8,126,0,0,0,0
NAVSAHAYADRI CHARITABLE TRUST D. ED. COLLEGE KHED PUNE (Id: S-9668),0,0,3,26,0,0,0,0
Navsarjan Polytechnic in Animal Husbandry (Id: S-16968),0,0,52,1,0,0,0,0
NAVYUVAK SHIKSHAN PRASARAK MANDAL RAWANKOLAS BHOSLE COLLEGE OF EDUCATION MUKHED NANDED (Id: S-9670),0,0,0,0,0,0,0,0
NAVYUVA NURSING SCHOOL (Id: S-17080),0,0,0,59,0,0,0,0
NAYAGARH INSTITUTE OF ENGINEERING & TECHNOLOGY (POLYTECHNIC) (Id: S-2350),0,0,226,23,0,0,0,0
NAYAGI INSTITUTE OF NURSING VELLORE (Id: S-5292),0,0,2,41,0,0,0,0
"Nazarene Nursing Training College, Reynolds Memorial Hospital, Washim (Id: S-16256)",0,0,15,77,0,0,0,0
NAZARETH HOSPITAL SCHOOL OF NURSING ALLAHABAD (Id: S-5447),0,0,0,97,0,0,0,0
Nazirpur Teachers Training College (Id: S-16213),0,0,0,0,0,0,0,0
NAZRUL CENTENARY POLYTECHNIC BARDHAMAN (Id: S-10932),0,0,350,38,0,0,0,0
N C PATEL SCHOOL OF NURSING BANGALORE (Id: S-4160),0,0,32,148,0,0,0,0
NDC INSTITUTE OF AIRCRAFT MAINTENACE ENGINEERING VADODARA (Id: S-8893),0,0,0,0,56,4,0,0
"NDRK POLYTECHNIC KIADB, THIMMANAHALLI INDUSTRIAL AREA, KANDALI (Id: S-14073)",0,0,87,37,0,0,0,0
NEELACHAL INSTITUTE OF NURSING SCHOOL (Id: S-4873),0,0,6,54,0,0,0,0
NEELAVAYNI KRISHNA SCHOOL OF NURSING RAMPUR (Id: S-5448),0,0,5,229,0,0,0,0
NEEL KANTH INSTITUTE OF ENGG. & TECHNOLGOY (Id: S-3335),0,0,748,154,0,0,0,0
"NELLORE SCHOOL OF NURSING, VEDAYAPALEM, NELLORE (Id: S-13019)",0,0,0,180,0,0,0,0
"NEOTIA ACADEMY OF NURSING, KOLKATA (Id: S-12072)",0,0,0,800,0,0,0,0
N E SOCIETY POLYTECHNIC CHITTAPUR (Id: S-1368),0,0,49,2,0,0,0,0
N E S POLYTECHNIC SHIMOGA' (Id: S-1367),0,0,455,100,0,0,0,0
Netajee Subhash Chandra Bose Institute Of Education (Id: S-16821),50,50,58,42,0,0,0,0
NETAJI SCHOOL OF NURSING & ANMTC (Id: S-15446),0,0,2,58,0,60,0,0
NETAJI SUBHAS CHANDRA BOSE PRIMARY TEACHERS TRAINING INSTITUTE MURSHIDABAD (Id: S-8828),95,103,97,92,0,0,0,0
Netaji Subhas Institute of Hotel Management And Tourism (Id: S-15372),0,0,24,19,0,0,0,0
NETAJI SUBHAS PRIMARY TEACHER’S TRAINING INSTITUTE PURB MEDINIPUR (Id: S-8829),85,115,89,107,0,0,0,0
"Nethaji College of Elementary Education ,Ranga Reddy (Id: S-16279)",0,0,35,63,0,0,0,0
NETHAJI SUBASH CHANDRA BOSE POLYUTECHNIC COLLEGE KEELAKAVATHUKUDY (Id: S-2899),0,0,524,138,0,0,0,0
NEW AZEEM URDU D. ED. COLLEGE URDU EDUCATION SOCIETYS QUAISER COLONY AURANGABAD (Id: S-9671),0,0,14,83,0,0,0,0
NEW CITY HOSPITAL SCHOOL OF NURSING UDUPI (Id: S-4173),0,0,8,88,0,0,0,0
NEW DELHI INSTITUTE OF MANAGEMENT (Id: S-78),0,0,0,0,0,0,0,0
NEW ERA COLLEGE OF MANAGEMENT (Id: S-17737),0,0,0,0,0,0,0,0
NEW ERA COLLEGE OF SCIENCE and TECHNOLOGY (Id: S-15105),0,0,469,12,0,0,0,0
NEW GOVERNMENT POLYTECHNIC PATNA-13 (Id: S-715),0,0,932,111,0,0,0,0
"NEW INDIAN POLYTECHNIC COLLEGE DUNDLOD NAWLAGARH, JHUNJHUNU (Id: S-2632)",0,0,807,46,0,0,0,0
NEW INDIAN TEACHERS TRAINING SCHOOL JHUNJHUNU (Id: S-7597),0,0,3,0,0,0,0,0
NEW LIFE INSTITUTE OF NURSING (Id: S-17570),0,0,10,61,0,0,0,0
New Maharashta Institute of Nursing (Id: S-18123),0,0,0,35,0,0,0,0
"New Mother Teresa A.N.M. School of Nursing, Udgir (Id: S-18021)",0,0,0,33,0,0,0,0
NEW NAVODAYA INSTITUTE OF NURSING MANDYA (Id: S-4174),0,0,30,71,0,0,0,0
"New Nursing School, Beed (Id: S-17806)",0,0,0,33,0,0,0,0
"New Punjab College of Elementary Education, Nangla (Id: S-14878)",0,0,34,66,0,0,0,0
"NEW PUNJAB POLYTECHNIC COLLEGE, BATHINDA (Id: S-2480)",0,0,411,46,0,0,0,0
NEW RAJMATA JIJAU RGNM NURSING SCHOOL (Id: S-17114),0,0,4,36,0,0,0,0
NEW SARVODAYA SCHOOL OF NURSING BANGALORE (Id: S-4175),0,0,70,106,0,0,0,0
"New Vision Nursing School, Latur (Id: S-16104)",0,0,18,79,0,0,0,0
NGPM TEACHER TRAINING INSTITUTE KOLLAM (Id: S-7088),0,0,4,93,0,0,0,0
N H SCHOOL OF NURSING NAGAPATTINAM (Id: S-5290),0,0,0,52,0,0,0,0
NIBEDITA INSTITUTE OF TECHNOLOGY MURSHIDABAD (Id: S-10933),0,0,608,20,0,0,0,0
NIBEDITA POLYTECHNIC MURSHIDABAD (Id: S-10934),0,0,593,22,0,0,0,0
NIDA SCHOOL OF NURSING BIDAR (Id: S-4176),0,0,91,59,0,0,0,0
"NIFAD NURSING SCHOOL, NIFAD (Id: S-16130)",0,0,0,40,0,0,0,0
"NIGAMA COLLEGE OF EDUCATION, SAMBAIAHPALLY (Id: S-14656)",0,0,35,43,0,0,0,0
NIGAMA ENGINEERING COLLEGE (Id: S-16571),0,0,128,50,0,0,0,0
NIGHTANGLE SCHOOL OF NURSING CHIKMAGALUR (Id: S-4178),0,0,3,93,0,0,0,0
Nightingale Nursing Institute (Id: S-17691),0,0,9,76,0,0,0,0
NIGHTINGALE SCHOOL OF DIPLOMA IN GENERAL NURSING & BIDAR (Id: S-4180),0,0,28,13,0,0,0,0
NIGHTINGALE SCHOOL OF NURSING BANGALORE (Id: S-4181),83,246,42,135,0,0,0,0
"NIGHTINGALE SCHOOL OF NURSING, MEHIDIPATNAM, HYDERABAD (Id: S-13210)",0,0,0,128,0,0,0,0
"NIKHIL SCHOOL OF NURSING, GAUTAM NAGAR, HYDERABAD (Id: S-13232)",0,0,0,135,0,0,0,0
NILACHAL POLYTECHNIC BHUBANESHWAR (Id: S-2351),0,0,761,78,0,0,0,0
"NILASAILA INSTITUTE OF SCIENCE AND TECHNOLOGY, SERGARH, BALASORE (Id: S-14449)",0,0,837,174,0,0,0,0
NIL RATAN SIRCAR MEDICAL COLLEGE HOSPITAL KOLKATTA (Id: S-5534),0,0,0,206,0,0,0,0
NILUFAR RUMANA D. ED. COLLEGE (Id: S-15158),67,33,49,51,0,0,0,0
NIMAS NORTH 24 PARGANAS (Id: S-10935),0,0,86,14,0,0,0,0
NIMT HOSPITAL (Id: S-15258),0,0,38,48,0,0,0,0
NINAIDEVI SHIKSHAN PRASARAK MANDAL SHIVKJIRAO DESHMUKH SHIRALA SANGLI (Id: S-9673),0,0,3,13,0,0,0,0
NIPS SCHOOL OF HOTEL MANAGEMENT NORTH 24 PARGANAS (Id: S-10936),106,44,0,0,0,0,0,0
NIRMALA GAJWANI SCHOOL OF NURSING KUTCH (Id: S-3784),0,0,11,149,0,0,0,0
NIRMALA HOSPITAL KOZHIKODE (Id: S-4545),0,0,0,82,0,0,0,0
NIRMALA INSTITUTE OF NURSING AND PARAMEDICAL SCIENCES (Id: S-16525),0,0,17,150,0,0,0,0
NIRMALA MEDICAL CENTRE ERNAKULUM (Id: S-4546),0,0,0,87,0,0,0,0
NIRMALA RAMANA NURSING SCHOOL KODAGU (Id: S-4182),0,0,1,65,0,0,0,0
NIRMALA SCHOOL OF NURSING ANANTHAPUR (Id: S-3572),0,0,0,157,0,0,0,0
NIRMALA SCHOOL OF NURSING BANGALORE RURAL (Id: S-4183),0,0,0,184,0,0,0,0
NIRMALA SCHOOL OF NURSING SHIMOGA (Id: S-4184),0,156,0,86,0,0,0,0
"NIRMALA SCHOOL OF NURSING, SURYAPET, NALGONDA (Id: S-13308)",0,0,0,70,0,0,0,0
nirmal shikshak prashikshan sansthan munderi (Id: S-16730),0,0,123,75,0,0,0,0
NIROGDHAM SCHOOL OF NURSING JHALAWAR (Id: S-5128),0,0,145,22,0,0,0,0
NISARGA SCHOOL OF NURSING HASSAN (Id: S-4185),0,0,35,98,0,0,0,0
NISHAD COLLEGE OF NURSING & ALLIED SCIENCES SATNA (Id: S-4693),0,0,27,88,0,0,0,0
NISHAT HOSPITALS & INSTITUTE OF PARAMEDICAL SCIENCES LUCKNOW (Id: S-5450),12,39,18,172,0,0,0,0
"N I T COMPUTER INSTITUTE  , Centre Code No. 220031 (Id: S-17748)",0,0,62,38,79,39,0,0
N.I.T.S. MIRAN SAHIB (Id: S-1144),0,0,410,34,0,0,0,0
NITTE USHA INSTT. OF NURSING SCIENCES DAKSHINA KANNADA (Id: S-4186),0,0,15,91,0,0,0,0
NITTUR EDUCATION SOCIETY POLYTECHNIC NITTUR (Id: S-1375),0,0,205,12,0,0,0,0
NIVEDITA SCHOOL OF NURSING GULBARGA (Id: S-4187),0,0,21,61,0,0,0,0
"NIVEDITHA COLLEGE OF ELEMENTARY TEACHER EDUCATION, KOTHAKOTA (Id: S-14632)",0,0,22,62,0,0,0,0
"N.K.T.T.SHOOL OF NURSING , BHIWANDI (Id: S-16836)",0,0,0,40,0,0,0,0
"N. L. Amodra School of Nursing,,  At: Charadva (Id: S-13977)",0,0,17,98,0,0,0,0
N.L.DALMIA INSTITUTE OF MANAGEMENT STUDIES & RESEARCH (Id: S-234),0,0,0,0,0,0,0,0
N.M. POLYTECHNIC COLLEGE PUDUKKOTTAI (Id: S-2887),0,0,117,0,0,0,0,0
N M TRUST POLYTECHNIC NIDASOSHI (Id: S-1369),0,0,635,153,0,0,0,0
N M WADIA HOSPITAL PUNE (Id: S-4787),0,0,0,60,0,0,0,0
NOBLE ACADEMY (Id: S-15748),0,0,0,0,49,60,0,0
NOBLE COLLEGE OF PHARMACY (Id: S-16458),0,0,49,45,0,0,0,0
"Noble D.Ed College, Medak (Id: S-16280)",0,0,20,61,0,0,0,0
NOBLE POLYTECHNIC COLLEGE (Id: S-16432),0,0,234,16,0,0,0,0
NOBLE SCHOOL OF NURSING RANGA REDDY (Id: S-3573),0,0,0,83,0,0,0,0
NOBLE TRAINING INSTITUTE (Id: S-16210),888,410,276,24,0,0,0,0
NOOR EDUCATION SOCIETY JUNIOR COLLEGE OF EDUCATION AKALKCT SOLAPUR (Id: S-9679),0,0,3,31,0,0,0,0
NOORIE COLLEGE OF NURSING KOLAR (Id: S-4190),0,0,40,208,0,0,0,0
"NOORIE LATHEEF D.ED COLLEGE, GONAMAKANAHALLI (Id: S-14573)",0,0,1,30,0,0,0,0
NOOR SCHOOL OF NURSING BIDAR (Id: S-4189),0,0,57,123,0,0,0,0
Noor Teacher Training Institute (Id: S-16377),0,0,30,18,0,0,0,0
NOORUL ISLAM POLYTECHNIC COLLEGE THIRUVITHAMCODE (Id: S-2901),0,0,751,25,0,0,0,0
"NOOTAN SCHOOL OF NURSING, NANDGAON (Id: S-15818)",0,0,3,164,0,0,0,0
NORMAL SCHOOL CACHAR (Id: S-5713),0,0,32,68,0,0,0,0
NORMAL SCHOOL JORHAT (Id: S-5714),0,0,137,311,0,0,0,0
NORMAL SCHOOL NAGAON (Id: S-5715),0,0,41,59,0,0,0,0
NORMAL SCHOOL SONITPUR (Id: S-5716),0,0,777,1077,0,0,0,0
NORTH BENGAL MEDICAL COLLEGE HOSPITAL DARJEELING (Id: S-5535),0,0,0,200,0,0,0,0
NORTH CALCUTTA POLYTECHNIC KOLKATA (Id: S-10937),0,0,719,100,0,0,0,0
NORTH EAST PARAMEDICAL AND NURSING INSTITUTE KAMRUP (Id: S-3705),0,0,0,138,0,40,0,0
"NORTHERN INSTITUTE OF MANAGEMENT STUDIES, DEHRADUN (Id: S-3433)",46,14,85,15,0,0,0,0
"NORTH KARNATAKA SCHOOL OF NURSING, BIDAR (Id: S-14132)",0,0,66,54,0,0,0,0
"NORTH ODISHA SCHOOL OF ENGINEERING, MAYURBHANJ (Id: S-14765)",0,0,898,155,0,0,0,0
NOTRE DAME JUNIOR COLLEGE OF EDUCATION (Id: S-16870),0,0,0,36,0,0,0,0
NOVA INSTITUTE OF NURSING & PARAMEDICAL SCIENCES LUCKNOW (Id: S-5451),0,0,27,173,0,0,0,0
"NOVA TEACHER TRAINING INSTITUTE . SELVAPURAM, , COIMBATORE (Id: S-13920)",0,0,3,14,0,0,0,0
NOWGONG POLYTECHNIC NAGAON-782001 (Id: S-694),0,0,434,54,0,0,0,0
NPA CENTENARY POLYTECHNIC COLLEGE (Id: S-2902),0,0,504,21,0,0,0,0
N P R INST OF HOTEL MANAGEMENT AND CATERING TECHNOLOGY PUNNAPATTI (Id: S-2885),0,0,0,0,0,0,0,0
N P R POLYTECHNIC COLLEGE PUNNAPATTI (Id: S-2886),0,0,536,25,0,0,0,0
N R A M POLYTECHNIC NITTE (Id: S-1370),0,0,610,170,0,0,0,0
N.R.I.P.T. (Id: S-3331),0,0,370,48,0,0,0,0
NR School of Education (Id: S-16820),57,43,46,54,0,0,0,0
NSHM SCHOOL OF HOTEL MANAGEMENT BARDHAMAN (Id: S-10938),221,229,0,0,0,0,0,0
N S MEMORIAL SCHOOL OF NURSING DATIA (Id: S-4691),0,0,21,89,0,0,0,0
"N S POLYTECHNIC COLLEGE, WEST BENGAL (Id: S-14455)",0,0,1074,31,0,0,0,0
NSS COLLEGE OF BTC (Id: S-15775),0,0,0,0,35,96,0,0
N S S MEDICAL MISSION HOSPITAL PATHANAMTHITTA (Id: S-4541),0,0,0,59,0,0,0,0
N.S.S. POLYTECHNIC COLLEGE PANDALAM (Id: S-1521),0,0,636,162,0,0,0,0
NSS TEACHER TRAINING INSTITUTE OTHERA P.O. THIRUVALLA PATHANAMTHITTA PATHANAMTHITTA (Id: S-7089),0,0,0,0,1,38,0,0
