Institution,UgMale,UgFemale,DMale,FemaleD,CMale,CFemale,IMale,IFemale
"Azim Premji University, Bangalore (Id: U-0601)",132,196,0,0,0,0,15,20
"Baba Farid University of Health & Medical Sciences, Faridkot (Id: U-0371)",481,1189,0,0,0,0,0,0
"Baba Ghulam Shah Badshah University,  Jammu (Id: U-0191)",925,576,116,22,0,0,0,0
BABA MASTNATH UNIVERSITY (Id: U-0666),1160,633,114,6,0,0,0,0
"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur (Id: U-0058)",0,0,0,0,0,0,0,0
"Babasheb Bhimrao Ambedkar University, Lucknow (Id: U-0498)",810,447,2,20,0,0,80,52
"Babu Banarsi Das University, Lucknow (Id: U-0499)",3907,1247,0,0,0,0,483,228
"Baddi University of Emerging Sciences and Technology, Baddi (Makhnumajra), Solan (Id: U-0177)",881,276,0,0,0,0,0,0
"Bahra University, Solan (Id: U-0597)",840,214,0,0,0,0,76,58
"Banaras Hindu University, Banaras (Id: U-0500)",10076,5482,951,810,114,57,0,0
Banasthali Vidyapith (Id: U-0389),0,8187,0,0,0,0,0,1126
"Bangalore University, Bangalore (Id: U-0215)",910,1100,55,31,110,54,32,64
"BANKURA UNIVERSITY, BANKURA (Id: U-0772)",0,0,0,0,0,0,0,0
"Bareilly International University, Bareilly (Id: U-0897)",560,586,211,262,0,0,0,0
"Barkatullah University, Bhopal (Id: U-0269)",1283,594,1,4,0,6,90,149
"Bastar Vishwavidyalaya, Bastar (Id: U-0082)",82,110,0,0,0,0,0,0
BENGALURU CENTRAL UNIVERSITY (Id: U-0956),0,0,0,0,0,0,0,0
BENGALURU NORTH UNIVERSITY (Id: U-0972),0,0,0,0,0,0,0,0
"Bennett University, Greater Noida (Id: U-0890)",774,268,0,0,0,0,97,67
"Berhampur University, Berhampur (Id: U-0350)",341,169,0,0,0,0,0,0
"Bhabha University, Bhopal (Id: U-0943)",242,98,0,4,0,0,0,0
"Bhagat Phool Singh  Mahila University, Khanpur Kalan, Sonipat (Id: U-0157)",0,1641,0,0,0,20,0,688
Bhagwant Global University (Id: U-0929),60,35,143,16,0,0,0,0
"Bhagwant University,  Ajmer (Id: U-0390)",1741,394,712,13,0,0,0,0
BHAKTA KAVI NARSINH MEHTA UNIVERSITY (Id: U-0783),0,0,0,0,0,0,0,0
"Bharathiar University, Coimbatore (Id: U-0447)",22278,12525,212,251,34,33,0,0
"Bharathidasan University, Tiruchirappalli (Id: U-0448)",90,70,16,6,6,1,278,345
Bharath Institute of Higher Education & Research (Id: U-0446),6831,3692,0,0,0,0,0,0
"Bharati Vidyapeeth, Pune (Id: U-0292)",1104,620,175,113,0,0,0,0
Bhartiya Skill Development Univesity (Id: U-0949),288,30,9,13,0,0,0,0
BHUPAL NOBLES' UNIVERSITY (Id: U-0836),3681,1849,215,88,0,0,0,0
"Bhupendra Narayan Mandal University, Madhepura (Id: U-0059)",0,0,0,0,0,0,0,0
"Bidhan Chandra Krishi Vishwavidyalaya , Nadia (Id: U-0568)",724,286,0,0,0,0,0,0
"Bihar Agriculture University, Sabour (Id: U-0060)",0,0,0,0,0,0,0,0
BIHAR ANIMAL SCIENCES UNIVERSITY (Id: U-0997),0,0,0,0,0,0,0,0
"Biju Patnaik University of Technology, Rourkela (Id: U-0351)",0,0,0,0,0,0,0,0
BIKANER TECHNICAL UNIVERSITY (Id: U-0991),0,0,0,0,0,0,0,0
BINOD BIHARI MAHTO KOYALANCHAL UNIVERSITY (Id: U-0978),0,0,0,0,0,0,0,0
BIRLA GLOBAL UNIVERSITY (Id: U-1020),351,41,0,0,0,0,0,0
"Birla Institute of Technology, Ranchi (Id: U-0202)",2398,688,0,0,0,0,356,241
"Birla Institute of Technology & Sciences, Pilani (Id: U-0391)",6263,925,0,0,0,0,3288,637
"Birsa Agricultural University, Ranchi (Id: U-0203)",158,213,1,6,0,0,0,0
BIRSA MUNDA TRIBAL UNIVERSITY (Id: U-0966),101,122,0,0,0,0,0,0
"B.L.D.E. University,  Bijapur (Id: U-0214)",430,365,0,0,2,1,0,0
BML MUNJAL UNIVERSITY (Id: U-0735),1225,179,0,0,0,0,0,0
BODOLAND UNIVERSITY (Id: U-0674),3,0,31,16,0,0,0,0
BRAINWARE UNIVERSITY (Id: U-0846),1189,458,165,44,0,0,0,0
B.S. Abdur Rahman Institute of Science & Technology (Id: U-0445),4127,1359,0,0,0,0,0,0
"Bundelkhand University,  Jhansi (Id: U-0502)",2538,1232,66,17,0,0,154,65
"Burdwan University, Burdwan (Id: U-0569)",58,69,0,0,0,0,0,0
"Calcutta University, Kolkata (Id: U-0570)",1195,907,9,6,81,41,20,44
Career Point University (Id: U-0925),1200,425,87,19,0,0,249,98
"CAREER POINT UNIVERSITY, HAMIRPUR (Id: U-0694)",576,228,32,0,0,0,33,52
"Carlox Teacher's University, Ahmedabad (Id: U-0125)",150,101,61,15,0,2,0,3
"Central Agricultural University, Imphal (Id: U-0336)",591,848,0,0,0,0,0,0
"Central Institute of Fisheries Education, Fishries University, Mumbai (Id: U-0293)",0,0,0,0,0,0,0,0
"Central Institute of Higher Tibetan Studies, Varanasi (Id: U-0503)",251,80,24,13,12,2,7,22
"Central Univeristy of Gujarat, Gandhinagar (Id: U-0126)",73,22,0,0,0,0,276,181
"Central Univeristy of Kerala, Kasaragod (Id: U-0252)",46,54,0,0,0,0,0,0
"Central University of Haryana, Mahendergarh (Id: U-0158)",678,117,0,0,0,0,0,0
"Central University of Himachal Pradesh, Dharmshala, Kangra (Id: U-0178)",119,70,0,0,0,0,0,0
CENTRAL UNIVERSITY OF JAMMU (Id: U-0631),0,0,0,0,0,0,147,186
"Central University of Jharkhand, Ranchi (Id: U-0204)",76,67,0,0,0,0,733,516
"Central University of Karnataka, Gulbarga (Id: U-0216)",84,59,0,0,0,0,247,184
"Central University of Kashmir, Srinagar (Id: U-0193)",266,140,0,0,0,0,407,375
"Central University of Orissa, Koraput (Id: U-0352)",34,24,0,0,51,49,61,43
"Central University of Punjab, Bathhinda (Id: U-0372)",0,0,0,0,0,0,65,44
"Central University of Rajasthan, Jaipur (Id: U-0392)",53,40,0,0,0,0,473,316
"Central University of South Bihar, Patna (Id: U-0062)",0,0,0,0,0,0,459,260
"Central University of Tamil Nadu, Tiruvarur (Id: U-0449)",77,69,3,4,0,0,264,473
"Centre for Environmental Planning and Technology University, Ahmedabad (Id: U-0127)",440,590,0,0,0,0,0,0
Centurion University of Technology and Management (Id: U-0353),1306,931,180,10,0,0,0,0
CENTURION UNIVERSITY OF TECHNOLOGY AND MANAGEMENT (Id: U-0957),175,161,0,0,0,0,0,0
CHANDIGARH UNIVERSITY (Id: U-0747),12507,6384,0,0,0,0,889,703
"Chankaya National Law University, Patna (Id: U-0063)",0,0,0,0,0,0,426,274
"Charotar University of Science & Technology,  Anand (Id: U-0128)",0,0,0,0,0,0,0,0
"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)",2492,1381,33,15,0,0,0,0
CHAUDHARY BANSI LAL UNIVERSITY (Id: U-0788),0,0,0,0,0,0,0,0
"Chaudhary Charan Singh Haryana Agricultural University, Hisar (Id: U-0159)",0,0,0,0,0,0,0,0
"CHAUDHARY RANBIR SINGH UNIVERSITY, JIND (Id: U-0738)",54,32,0,0,0,0,0,0
"Chaudhary Sarwan Kumar Himachal Pardesh Krishi Vishvavidyalaya, Palampur (Id: U-0179)",504,649,0,0,0,0,0,0
"Ch. Devi Lal University, Sirsa (Id: U-0160)",713,609,51,23,0,0,379,200
"Chennai Mathematical  Institue, Chennai (Id: U-0450)",76,7,0,0,0,0,0,0
"Chettinad Academy of Research & Education, Kancheepuram (Id: U-0451)",0,0,0,0,0,0,0,0
CHHATRAPATI SHIVAJI MAHARAJ UNIVERSITY (Id: U-0987),18,10,0,0,0,0,0,0
CHHATTISGARH KAMDHENU VISHWAVIDALAYA (Id: U-0634),426,280,490,242,0,0,0,0
"Chhattisgarh Swami Vivekanand Technical University, Bhilai (Id: U-0083)",0,0,0,0,0,0,0,0
"Children University, Gandhinagar (Id: U-0594)",0,0,0,0,0,0,0,0
Chinmaya Vishwavidyapeeth (Id: U-0903),48,63,0,0,0,0,9,6
"Chitkara University, Kalu Jhanda (Barotiwala), Solan (Id: U-0180)",1507,406,0,0,0,0,0,0
"Chitkara University, Patiala (Id: U-0373)",5625,2854,146,3,0,0,116,51
"Choudhary Charan Singh University, Meerut (Id: U-0506)",345,225,0,0,0,0,0,0
"Christ University, Bangalore (Id: U-0217)",7534,6831,0,0,0,0,776,632
Cluster University of Jammu (Id: U-0926),0,0,0,0,0,0,205,406
Cluster University Srinagar (Id: U-0909),0,0,0,0,0,0,0,0
CMJ University (Id: U-0942),73,48,157,49,0,0,0,0
"CMR UNIVERSITY, BANGALORE (Id: U-0723)",1906,804,0,0,0,0,113,116
"Cochin University of Science & Technology, Kochi (Id: U-0253)",670,85,0,0,62,18,218,278
COOCH BEHAR PANCHANAN BARMA UNIVERSITY (Id: U-0787),0,0,0,0,38,27,0,0
COTTON UNIVERSITY (Id: U-0675),699,1076,0,0,0,0,0,0
"CT University, Ludhiana (Id: U-0892)",596,378,23,7,0,0,3,13
"C.U.SHAH UNIVERSITY, SURENDRANAGAR (Id: U-0708)",0,0,0,0,0,0,0,0
Dakshina Bharat Hindi Prachar Sabha (Id: U-0452),0,0,0,0,0,0,0,0
Damodaram Sanjivayya National Law University (Id: U-0002),0,0,0,0,0,0,294,273
"Datta Meghe Institute of Medical Sciences, Nagpur (Id: U-0295)",929,1838,0,0,0,0,0,0
"Davangere University, Davangere (Id: U-0218)",0,0,0,0,0,0,0,0
DAV University (Id: U-0776),1672,1450,0,0,0,0,23,55
"Dayalbagh Educational Institute, Agra (Id: U-0507)",2558,3544,63,106,783,602,18,62
DAYANANDA SAGAR UNIVERSITY (Id: U-0856),2126,1287,0,0,0,0,0,0
"Deccan College Postgraduate & Research Institute, Pune (Id: U-0296)",0,0,0,0,0,0,0,0
"Deenbandhu Chhotu Ram University of Science & Technology, Murthal(Sonepat) (Id: U-0161)",1444,529,0,0,0,0,466,329
"Deen Dayal Upadhyay Gorakhpur University, Gorakhpur (Id: U-0508)",4194,3988,2,37,2,36,0,0
"Defence Institute of Advanced Technology, Girinagar, Pune (Id: U-0297)",0,0,0,0,0,0,0,0
DELHI PHARMACEUTICAL SCIENCES AND RESEARCH UNIVERSITY (Id: U-0853),195,239,0,0,0,0,0,0
Delhi Technological University (Id: U-0098),7111,1213,0,0,0,0,0,0
DESH BHAGAT UNIVERSITY (Id: U-0684),1792,850,389,55,0,0,85,45
"Devi Ahilya Vishwavidyalaya, Indore (Id: U-0270)",2757,1544,13,11,16,31,987,899
"Dev Sanskriti Vishwavidyalaya, Gayatrikunj (Id: U-0551)",283,388,12,2,0,0,0,0
"Dharmsinh Desai univeristy, Nadiad (Id: U-0129)",2768,864,96,3,0,0,0,0
"Dhirubhai Ambani Institute of Information & Communication Technology, Gandhi Nagar (Id: U-0130)",1041,203,0,0,0,0,0,0
DIAMOND HARBOUR WOMEN?S UNIVERSITY (Id: U-0768),0,0,0,0,0,0,0,0
"Dibrugarh University, Dibrugarh (Id: U-0051)",1098,709,8,16,0,0,51,33
DIT UNIVERSITY (Id: U-0774),3763,1187,0,0,0,0,0,0
"Doon University, Dehradun (Id: U-0552)",30,46,0,0,0,0,901,853
DR. ABDUL HAQ URDU UNIVERSITY (Id: U-0998),23,39,0,0,0,0,5,11
"Dr.A.P.J. ABDUL KALAM TECHNICAL UNIVERSITY ,LUCKNOW (Id: U-0549)",0,0,0,0,0,0,0,0
Dr. A.P.J. ABDUL KALAM UNIVERSITY (Id: U-0862),881,225,435,103,0,0,0,0
"Dravidian University, Kuppam, Chittoor District (Id: U-0010)",2145,1759,0,0,19,11,0,0
"Dr. Babasaheb Ambedkar Marathwada University, Aurangabad (Id: U-0298)",468,120,76,26,135,75,0,0
"Dr. Babasaheb Ambedkar Open University, Ahmedabad (Id: U-0131)",26526,15686,153,108,2588,5228,0,0
"Dr. Babasaheb Ambedkar Technological University, Lonere (Id: U-0299)",1806,745,0,0,0,0,0,0
"Dr. Balasaheb Sawant Konkan Krishi Vidyaapeeth,(former Konkan Krishi Vidyapeeth) Ratnagiri (Id: U-0300)",0,0,0,0,0,0,0,0
"Dr. B. R. Ambedkar National Institute of Technology, Jalandhar (Id: U-0374)",2283,490,0,0,0,0,0,0
"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",1537,1641,0,0,0,0,0,0
"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",1114,543,97,30,120,29,0,0
Dr. B. R. Ambedkar University Delhi (Id: U-0097),671,695,0,0,0,0,0,0
"Dr.B.R.Ambedkar University, Etcherla (Id: U-0009)",212,122,0,0,0,0,0,0
Dr. C.V. Raman University (Id: U-0937),231,154,0,0,0,0,0,0
Dr. C.V RAMAN UNIVERSITY (Id: U-0994),372,159,66,23,0,0,0,0
"Dr. C. V. Raman University, Kota Bilaspur (Id: U-0084)",10552,4919,18746,14400,0,0,61,39
"Dr. D.Y.Patil Vidyapeeth, Pune (Id: U-0301)",0,0,0,0,0,0,0,0
"Dr. Harisingh Gaur  Vishwavidyalaya, Sagar (Id: U-0271)",2602,1281,0,0,0,0,365,198
"Dr K N Modi University, Tonk (Id: U-0393)",960,248,398,12,0,0,0,0
"Dr. Punjarao Deshmukh Krishi Vidyapeeth, Akola (Id: U-0302)",0,0,0,0,0,0,0,0
"Dr Rajendra Prasad Central Agricultural University, Samastipur (Id: U-0075)",0,0,0,0,0,0,0,0
"Dr. Ram Manohar Lohia  Awadh University, Faizabad (Id: U-0510)",1088,297,0,0,0,0,0,0
"Dr. Ram Manohar Lohiya National Law University, Lucknow (Id: U-0511)",476,327,0,0,0,0,0,0
"Dr Sarvepalli Radhakrishnan Rajasthan Ayurved University, Jodhpur (Id: U-0418)",3490,3121,1333,1146,103,35,0,0
DR. SHYAMA PRASAD MUKHERJEE UNIVERSITY (Id: U-0982),3589,2506,0,0,44,1,0,0
Dr. Vishwanath Karad MIT World Peace University (Id: U-0938),2151,527,0,0,0,0,0,0
"Dr. Y.S. Parmar University of Horticulture and Forestry, Solan (Id: U-0181)",557,854,0,0,0,0,0,0
Dr Y S R Horticulture University (Id: U-0001),375,733,139,175,0,0,0,0
"D.Y. Patil Educational Society , Kolhapur (Id: U-0294)",621,399,0,0,10,7,0,0
D Y PATIL INTERNATIONAL UNIVERSITY (Id: U-0984),130,174,0,0,0,0,0,0
