,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
SRI DEVI TEACHER TRAINING INSTITUTE KRISHNAPURAM PONNERI (Id: S-8318),3,3,2,1,,,1,2,,,,,,
"Sri Dharmasthala Manjunatheshwara Polytechnic, Ujire (Id: S-1400)",30,15,,,,1,8,3,,,,,5,1
SRI DURGA DEVI POLYTECHNIC COLLEGE KHIZL MUDALAM BEDU (Id: S-3011),19,13,,1,,,19,12,,,1,,,1
SRI DURGA SCHOOL OF NURSING PRAKASAM (Id: S-3624),4,11,3,8,1,,,2,,,,,,
SRI DURGA SCHOOL OF NURSING PUDUKKOTTAI (Id: S-5340),1,5,,1,,,1,4,,,,,,
SRIDUTT  SINGH INSTITUTE FOR TEACHER TRAINING (Id: S-15768),4,2,,,,,,1,,,,,,
SRI ESHWARAMMAJI PARA MEDICAL COLLEGE (Id: S-19052),23,18,8,5,,,2,4,,,,,2,4
SRI ESHWARAMMAJI SCHOOL OF NURSING ( S E S O N) KOLAR (Id: S-4317),4,14,,1,,,4,13,,,1,,2,8
SRI GNANA PRASUNAMBIKA SCHOOL OF NURSING CHITTOOR (Id: S-3625),,8,,2,,,,2,,,,,,
"SRI GOVIND SHIKSHAK PRASHIKSHAN COLLEGE BISAU, JHUNJHUNU (Id: S-12541)",6,1,1,,,,1,,,,,,,
Sri Gowthami D.Ed College (Id: S-14313),1,,,,,,,,,,,,,
SRI G PULLA REDDY GOVERNMENT POLYTECHNIC (Id: S-642),17,4,5,0,,1,7,3,,,1,,4,
SRI GURU GOBIND SINGH COLLEGE OF PHARMACY (Id: S-14857),6,15,,1,,,,1,,,,,1,4
SRI GURURAJ TEACHER TRAINING INSTITUTE KOLAR (Id: S-6774),4,2,2,,,,2,2,,1,,,,
"SRI GURU SHANESHWARA D ED COLLEGE, MELKOTE (Id: S-12497)",3,3,,1,,,3,1,,,,,,
SRI HARI PARA MEDICAL COLLEGE YADGIRI (Id: S-18566),5,1,,,,,5,1,,,,,,
"SRI HARNARAIN SOMANI TEACHERS TRAINING INSTITUTIONS, MYSORE (Id: S-12090)",3,2,1,,,,1,,,,,,,
SRI HARSHA D.Ed COLLEGE (Id: S-15898),12,4,2,1,,,4,,,,2,,1,
"Sri Harsha D.El.Ed College,Prakasam (Id: S-16418)",1,,,,,,,,,,,,,
"Sri Harshini College of Education, VIP Road, Rajeev Nagar, Lawyer Pet, Ongole, Prakasam District (Id: S-16376)",,1,,,,,,,,,,,,
"Sri Harshini D.Ed College, NH5 Street, Martur Village, Martur, Prakasam District (Id: S-16375)",,1,,,,,,,,,,,,
SRI ISSAC NEWTON TEACHER TRAINING INSTITUTE KADAMBADY (Id: S-8320),5,5,3,2,,,2,3,,,,,1,
SRI JAGANNATH GNM TRAINING SCHOOL PURI (Id: S-4886),1,7,,,,,,3,,,,,,
SRI JEYA SCHOOL OF NURSING VELLORE (Id: S-5342),1,11,,2,,,1,9,,,,,,1
SRI JYOTHI POLYTECHNIC (Id: S-19000),41,18,14,2,,,20,14,,,,3,,
Sri Kalahastiswara Institute of Education (Id: S-14348),14,2,2,,,,7,2,,,1,,,
SRI KAMADHENU SCHOOL OF NURSING CHICKMAGALUR (Id: S-4320),2,8,,,,,,,,,,1,,
SRI KANAKA SCHOOL OF NURSING (Id: S-19223),4,2,,,,,1,2,,,,,,
SRI KARPAGA POLYTECHNIC COLLEGE KANCHIPURAM (Id: S-3013),11,5,2,1,,,9,4,,,,,,
"SRI KETHAKI SANGAMESHWARA D ED COLLEGE, JHARASANGAM, ZAHIRABAD, MEDAK (Id: S-14688)",6,2,,1,,,5,,,,,,,
SRI K L SHASTRI SMARAK NURSING COLLEGE LUCKNOW (Id: S-5492),21,22,,,,,1,6,,,1,,9,9
SRI KOTTURSWAMY VIVIDODHESH KOPPAL (Id: S-6790),5,1,1,1,,,4,,,,1,,,
SRI K.RAMACHANDRA NAIDU TEACHER TRAINING INSTITUTE SANKARANKOVIL (Id: S-8326),2,2,2,1,,,,1,,,,,,
"Sri Krishna Chaitanya D.Ed College, Ravipadu, Narsaraopeta (Id: S-15941)",1,,,,,,,,,,,,,
"Sri Krishna Devaraya D.Ed College, Darsi, 523247 (Id: S-16163)",9,7,,,,,,,,,,,,
SRI KRISHNA POLYTECHNIC BANGALORE (Id: S-1447),13,23,1,1,,1,,,,,,2,,
"Sri Krishna Polytechnic College, Kovaipudur (Id: S-3127)",19,13,2,1,,,17,10,,,,1,2,
SRI KRISHNA POLYTECHNIC COLLEGE SEVUGAMPATTI (Id: S-3014),48,8,9,2,,,39,6,,,2,,3,1
SRI KRISHNA POLYTECHNIC COLLEGE VADAMAMBAKKAM (Id: S-3015),41,24,6,1,,,34,23,,,,,1,
SRI KRISHNA SCHOOL OF NURSING (Id: S-15279),,9,,,,1,,2,,,,,,5
SRI KRISHNA SCHOOL OF NURSING BANGALORE (Id: S-4322),2,16,,,,,1,11,,,,,1,11
SRI KRISHNA SCHOOL OF NURSING CHITTOOR (Id: S-3628),,10,,2,,,,5,,,,2,,1
SRI KRISHNA TEACHER TRAINING INSTITUTE ARAKKONAM (Id: S-8330),2,4,,1,,,2,2,,,,,,1
"SRI KUMARAN SCHOOL OF NURSING, CHENNAI (Id: S-12909)",,7,,2,,,,5,,,,,,2
"SRI LAKKINENI RAMAYYA PRATHIBA COLLEGE OF EDUCATION, KALLOOR (Id: S-14666)",7,1,,,,,4,,,,,,,
SRI LAKSHMI SCHOOL OF NURSING GUNTUR (Id: S-3629),2,13,1,9,,,1,3,,,,,,
SRI LAKSHMI TEACHER TRAINING INSTITUTE VELAYUTHA NAGAR JAYANKONDAM (Id: S-8337),2,2,,,,,2,2,,,,,,
"Sri Lakshmi Venkateswara D.Ed. College, D.No.1-47-1, Byreddynagar, Stantanpuram, Kurnool (Id: S-13408)",7,3,3,,1,,1,2,,,,,4,1
SRI LAKSHMI VENKATESWARA SCHOOL OF NURSING CHITRADURGA (Id: S-4323),1,10,,2,,1,,5,,,,,,1
"SRI LEPAKSHA SWAMY SCHOOL OF NURSING, CHITRADURGA (Id: S-12871)",5,7,,,,,2,3,,,,,,2
"Srimaa School Of Nursing,Puri, Odisha (Id: S-15677)",1,6,,,,,,,,,,,,
"SRI MAHALAKSHMI POLYTECHNIC COLLEGE POONDIYANKUPPAM, CUDDALORE (Id: S-12734)",31,22,8,1,,,23,21,,,,,,1
SRI MAHALAKSHMI TEACHERS TRAINING INSTITUTE FOR WOMEN PALLADAM TIRUPUR (Id: S-8338),3,3,,1,,,3,2,1,,,,,
"Sri Mahatma Gandhi D Ed College, Atreyapuram, East Godavari District - 533 235 (Id: S-13474)",1,,,,,,,,,,,,,
SRI MANAKULA VINAYAGAR POLYTECHNIC COLLEGE (Id: S-2390),39,21,3,,,,33,21,,,1,1,1,
SRIMANT R.L. SUMAN HIGHER TECHNICAL EDUCATION SANSTHAN MADANPUR (Id: S-3397),9,8,6,8,,,,,,,,,,
SRI MARUTHI TEACHEER TRAINING INSTITUTE KOLAR (Id: S-6800),7,1,3,,1,,2,,,,,,,
SRI MARUTI PARA MEDICAL COLLEGE YADGIRI (Id: S-18565),4,2,,,,,4,2,,,,,,
"SRI MOOGAMBIGAI POLYTECHNIC COLLEGE, HOSUR MAIN ROAD, MADHAMPATTI (Id: S-13953)",28,15,,1,,,28,14,,,,1,,
"SRI MOOKAMBIGAI SCHOOL OF NURSING, TIRUCHIRRAPPALLI (Id: S-5289)",,7,,3,,,,3,,,,,,5
SRI MRUTHYUNJAYA SCHOOL OF NURSING DAVANGERE (Id: S-4324),2,3,,1,1,2,1,,,,,,,
SRI MUTHALAMMAN POLYTECHNIC COLLEGE THELICHATHANALLUR (Id: S-3016),21,4,4,,,,17,4,,,,,1,
"SRI M.V. INSTITUTE OF NURSING, MANDYA (Id: S-14119)",2,3,,,,,1,1,,,,,,
SRI MYLARALINGESHWARA SWAMY SCHOOL OF NURSING CHITRADURGA (Id: S-4325),4,11,,,,1,,1,,,1,1,1,2
SRI NALLALAGHU POLYTECHNIC COLLEGE THANDAL KALANI (Id: S-3017),51,29,5,4,,,46,25,1,,,,11,10
SRI NANDHANAM POLYTECHNIC COLLEGE MOLAGARAMPATTI (Id: S-3018),15,10,5,,,1,10,9,,,,,,
"Srinidhi Teacher Training Institute, Adilabad (Id: S-16312)",8,,2,,,,5,,,,,,,
SRI NIRVANASWAMY SCHOOL OF NURSING BANGALORE RURAL (Id: S-4327),12,8,,,,,,,,,,,4,3
"Srinivasa College of Elementary Education, Mahabubnagar (Id: S-16313)",6,2,,,,,6,2,,,,,,
SRINIVASAN POLYTECHNIC COLLEGE PERAMBALUR (Id: S-3050),48,30,9,3,,,39,27,,,,1,1,
SRINIVASA POLYTECHNIC COLLEGE KALAMAVUR (Id: S-3048),39,30,4,1,,,35,28,,,,2,,2
"SRINIVASA SCHOOL OF NURSING, VANASTHALIPURAM, HYDERABAD (Id: S-13239)",,1,,,,,,,,,,,,1
SRINIVASA SUBBARAYA POLYTECHNIC COLLEGE ANNAIKARAN CHATARAM (Id: S-3049),35,31,4,4,,,30,27,1,,1,1,1,1
SRI N JAYANNA SCHOOL OF NURSING CHITRADURGA (Id: S-4326),5,5,,,,,,,,,,1,,
SRINMATH POLYTECHNIC MYSORE (Id: S-1454),6,6,,,,1,2,4,,,,,1,
s.r. institute of pharmacy (Id: S-16493),12,5,1,,,,6,4,,,,1,,
SRI PADMAM POLYTECHNIC COLLEGE PACHAL (Id: S-3019),20,3,4,,,,16,3,,,1,,1,
"SRI PADMARAJ D.P.ED COLLEGE, SINDAGI (Id: S-12582)",7,,1,,,,6,,,,,,,
"SRI PADMAVATHI, SCHOOL OF NURSING, NARAYANAVARAM, CHITTOOR (Id: S-13161)",1,,,,,,,,,,,,,
SRI PADMAVATHI SCHOOL OF NURSING NELLORE (Id: S-3633),,13,,5,,,,5,,,,,,
SRI PADMAVATHI WOMEN'S POLYTECHNIC (Id: S-644),7,19,4,7,,1,,4,,,,,,
Sri P.Antony Reddy Memorial Teacher Training Institute (Id: S-14419),8,1,2,,,,6,,,,,,,
"SRI PHULAJI BABA COLLEGE OF EDUCATION, UTNOOR (Id: S-14654)",8,,,,1,,4,,,,1,,,
S R I POLYTECHNIC COLLEGE BIRUDUR (Id: S-2960),17,9,,,,,,1,,,,,,
SRI POLYTECHNIC KOMOND ODAGOAN (Id: S-2376),36,8,,,,,,,,,,,,
Sri Ponnavolu Gopi Reddy D.Ed College (Id: S-14374),18,,4,,,,8,,,,1,,1,
"SRI RAGAVENDRA INSTITUTE OF D ED, CHIT (Id: S-13707)",4,2,2,2,1,,1,,,,,,,
SRI RAGAVENDRA POLYTECHNIC COLLEGE KOMARAPALAYAM (Id: S-3020),39,24,,,,,,,,,,,,1
"Sri Raghavendra College of Diploma in Education, Yemmiganur, Kurnool District. (Id: S-13412)",10,2,3,1,,,7,1,,,,,,
"Sri Raghavendra College of Education (D.Ed.,) Bhimavaram, W.G. District. (Id: S-13346)",14,2,6,1,,,6,1,,,,,,
SRI RAGHAVENDRA INSTITUTE OF NURSING TUMKUR (Id: S-4328),4,9,,1,,,,,,,,,,1
SRI RAGHAVENDRA INSTITUTE OF TEACHER EDUCATION K. SINGARAKOTTAI (Id: S-8351),2,3,2,1,,,,2,,,,,,1
"SRI RAGHAVENDRA SCHOOL OF NURSING, NAGAPATTINAM (Id: S-12900)",,5,,,,,,5,,,,,,1
"Sri Raja Suraneni Venkata Papaiah Rao College of Education (D.Ed) 23-3-134, Annapurnadevi Street, Gandhinagar, Vijayawada, Krishna District (Id: S-13357)",5,3,2,2,,,3,,,,1,,1,
SRI RAJIV GANDHI POLYTECHNIC COLLEGE MYLADI (Id: S-3021),10,8,1,1,,,9,7,,,,,,
"SRI RAMA BHADRA SCHOOL OF NURSING, BAPATLA, GUNTUR (Id: S-13061)",,1,,,,,,,,,,,,1
SRI RAMACHANDIRA TEACHER TRAINING INSTITUTE VEDARANIAM (Id: S-8359),,1,,,,,,1,,,,,,
"SRI RAMACHANDRA D P ED COLLEGE SANTHEMARAHALLI, CHAMRAJNAGAR (Id: S-12491)",4,1,3,1,,,1,,,,,,,
"SRI RAMACHANDRA POLYTECHNIC COLLEGE, DHARMANEETHI (Id: S-14885)",15,9,1,5,,,14,4,,,,,,1
"SRI RAMACHANDRA POLYTECHNIC COLLEGE, DHARMAPURI (Id: S-3023)",1,0,0,0,0,,,,,,,,,
SRI RAMACHANDRA TTI CHAMARAJANAGAR (Id: S-6809),7,2,7,1,,1,,,,,,,,
SRI RAMAKRISHNA ASRAHAM CHARITABLE HOSP. THIRUVANANTHAPURAM (Id: S-4612),,8,,1,,,,,,,,,,2
SRI RAMAKRISHNA MISSION SEVASHRAMA SCHOOL OF NURSING MATHURA (Id: S-5493),3,7,,,,,,3,,,,,1,3
SRI RAMAKRISHNA MISSION VIDYALAYA GANDHI T.T.I. PERIANAICKENPALAYAM (Id: S-8361),1,,,,,,,,,,,,,
SRI RAMAKRISHNA MISSION VIDYALAYA POLY. COLLEGE GUDALUR (Id: S-3024),38,,1,,,,36,,,,0,,2,
SRI RAMAKRISHNA POLYTECHNIC COLLEGE -IDIGARAI PANCHAYAT (Id: S-3025),42,31,3,4,,,38,26,,,,1,5,
SRI RAMAKRISHNA POLYTECHNIC COLLEGE KOOTHAMBAKKAM (Id: S-3026),15,3,3,,,,7,,,,,,,
SRI RAMAKRISHNA POLYTECHNIC COLLEGE -SIRUVACHIUR (Id: S-3027),21,13,,4,,,21,9,,,,,1,
SRI RAMAKRISHNA SCHOOL OF NURSING CHICKMAGALUR (Id: S-4330),2,8,,1,,,2,6,,,,,2,5
SRI RAMANA INSTITUTE OF POLYTECHNIC COLLEGE MOOLAIKARAIPATTI (Id: S-3028),23,12,,1,,,10,7,,,,,1,
SRI RAMANA MAHARSHI SCHOOL OF NURSING TUMKUR (Id: S-4331),7,11,,,2,1,4,6,,,,,,4
"SRI RAMANASHREE SCHOOL OF NURSING, GULBARGA (Id: S-14115)",8,1,,,,,1,,,,,,4,1
"SRI RAM INSTITUTE OF TEACHER EDUCATION, DWARKA (Id: S-13821)",3,4,,,,,,,,,,,,
Sri Ramkrishna College of Education (Id: S-16921),12,5,,,,,,1,,,,,,
SRI RAM NALLAMANI YADAVA TEACHER TRAINING INSTITUTE KANJARAMPETTAI (Id: S-8355),2,,1,,,,1,,,,,,,
SRI RAM POLYTECHNIC COLLEGE PERUMALPATTU (Id: S-3022),36,12,7,3,,,25,8,,,1,,2,
"Sri Ram School of Nursing , At / Po - Sohela , Dist-Bargarh (Id: S-15624)",1,5,,,,,1,4,,,,,,
"SRI RAM SCHOOL OF NURSING, KAKINADA, EAST GODAVARI (Id: S-12973)",,12,,,,,,4,,,,,,6
SRI RAM TEACHER TRAINING INSTITUTE VELIPPALAYAM (Id: S-8357),1,5,,2,,,1,3,,1,,,,
SRI RAMUSUNASHREE SCHOOL OF NURSING BANGALORE (Id: S-4332),1,15,,3,,1,1,1,,,,,,4
"SRI RANGABOOPATHY TEACHER TRAINING INSTITUTE, VILLUPURAM (Id: S-13930)",6,1,1,,,,5,1,,,,,,
SRI RANGANATHAR INSTITUTE OF POLYTECHNIC COLLEGE ATHIPALAYAM (Id: S-3029),39,19,2,2,,,25,13,,,1,,,1
SRI RENGA POLYTECHNIC COLLEGE MANNACHANALLUR (Id: S-3030),21,4,,,,,7,3,,,,,1,
SRI RENGESWARAR POLYTECHNIC COLLEGE POTTIREDDIPATTI (Id: S-3031),48,20,13,1,,,,,,,1,,,
SRI RENGESWARAR TEACHER TRAINING INSTITUTE POTTI RETTI PATTI (Id: S-8369),1,4,1,2,,,,2,,,,,,
SRI RENUGAMBAL POLYTECHNIC COLLEGE ETTIVADI (Id: S-3032),10,5,3,2,,,7,3,,,,,1,1
"Sri Sadguru Bandayappa Swamy D.Ed. College, C/o.Basalingappa Mutt, Bichkunda village and mandal, Nizamabad-503306 (Id: S-13452)",7,1,,,,,6,1,,,,,,
SRI SADGURU KABEERANANDA SWAMY SCHOOL OF NURSING CHITRADURGA (Id: S-4334),7,11,,1,,,3,6,,,1,1,,
SRI SAI CHARITABLE HOSPITAL & INSTT OF MEDICAL SCIENCES MANDI (Id: S-3874),1,16,,7,,,,,,,,1,,
SRI SAI COLLEGE OF NURSING ALIGARH (Id: S-5494),6,5,,1,,,2,2,,,1,1,1,
"Sri Sai College of Teacher Training, Dornala Street, Dornala, Prakasam District (Id: S-16463)",1,,,,,,,,,,,,,
SRI SAI EDUCATIONAL SOCIETYs GROUP OF INSTITUTIONS(Second Shift Polytechnic) (Id: S-15641),35,5,1,,3,,31,4,,,,,1,
Sri Sai Elementary Teacher Training College (Id: S-14412),8,,,,,,,,,,,,1,
SRI SAI INSTITUTE OF TEACHER EDUCATION LAXMAN GARHI KHAIR (Id: S-17608),4,2,1,,,,2,1,,,,,,
"SRI SAI INSTITUTE OF TECHNOLOGY, JASPUR (Id: S-17085)",24,10,3,1,,,7,1,,,4,1,1,
SRI SAI INSTT. OF PHARMACY INDIRA NAGAR (Id: S-3395),4,3,,1,,,1,1,,,,1,,
SRI SAI KRISHNA SCHOOL OF NURSING NELLORE (Id: S-3637),1,3,,,,,,,,,,,,
Sri Sai Krupa (Id: S-14414),13,3,,,1,,7,,,,1,,,
Sri Sai rajeswari D.Ed college (Id: S-16373),13,3,3,,,,2,1,,,2,,,
SRI SAIRAM POLYTECHNIC COLLEGE POONTHANDALAM (Id: S-3034),44,24,6,1,,,37,20,,,,1,4,
SRI SAI R R INSTITUTE OF PHARMACY (Id: S-17590),2,3,,,,,,2,,,,,,
SRI SAI SCHOOL OF NURSING BANGALORE (Id: S-4335),4,7,,,,,,,,,,,1,2
SRI SAI SCHOOL OF NURSING GUNTUR (Id: S-3638),4,13,1,7,,1,2,5,,,,,,6
SRI SAI SCHOOL OF NURSING PRAKASAM (Id: S-3639),1,12,1,9,,,,,,,,,,
"SRI SAI SCHOOL OF NURSING, SANTHI NAGAR, NALGONDA (Id: S-13304)",4,14,2,6,1,1,1,4,,,,1,,
Sri Sai Teacher Training Centre (Id: S-14384),6,1,,,,,,,,,,,,
SRI SAKTHI POLYTECHNIC COLLEGE CHE-NACHIPATTU (Id: S-3035),46,18,4,4,,,42,13,1,,3,,1,2
SRI SANGAMESHWARA GOVERNAMENT POLYTECHNIC ZAHEERABAD (Id: S-646),31,8,11,,,1,12,4,,,,,,1
"SRI SANGAMESHWARA V.KALMATH D.ED COLLEGE, MANVI (Id: S-12679)",6,,,,,,6,,,,,,,
SRI. SANJEEV POLYTECHNIC LINGASAGUR (Id: S-10972),29,9,5,1,3,1,19,7,,,7,,,
SRI SANTHOSHI POLYTECHNIC COLLEGE PAIYAMBADI (Id: S-3036),23,10,13,5,,,10,5,,,,,,
SRI SARADHA TEACHER TRAINING INSTITUTE FOR WOMAN SIRUVACHUR (Id: S-8376),2,4,,2,,,2,2,,,,,,
"SRI SATYADEVA TTC COLLEGE OF GIRLS, KOLLIPARA, GUNTUR DISTRICT (Id: S-15875)",1,,,,,,,,,,,,,
Sri Satya Sai Elementary Teacher Training College (Id: S-14421),6,1,,,,,2,,,,2,,,
Sri S B Deshmukh Pharmacy College (Id: S-18934),4,,1,,,,3,,,,,,1,
SRI SEVEN HILLS SCHOOL OF NURSING VISAKHAPATNAM (Id: S-3648),,10,,,,1,,9,,,,,,
SRI SHAHU MAHARAJ COLLEGE OF PHARMACY (Id: S-18684),6,2,,,,,1,2,,,1,2,,
SRI SHANTHINI SCHOOL OF NURSING BANGALORE (Id: S-4336),7,28,,,,,,,,,,3,,9
SRI SHARANABASAVESWARA TEACHER TRAINING INSTITUTE BELLARY (Id: S-6817),5,,1,,,,4,,,,,,,
SRI SHIRDI SAI ELEMENTARY TCHR. EDN. INST. VIZIANAGARAM (Id: S-5660),12,4,3,1,,,8,2,,,,,,
"SRI SHIVARATHRI RAJENDRA NURSING SCHOOL, C.H. NAGAR (Id: S-14134)",6,4,1,1,2,,1,2,,,,,1,
SRI SIDDAGANGA TEACHER TRAINING INSTITUTE TUMKUR (Id: S-6825),7,2,,,,,2,,,,,,,
"SRI SIDDALINGESHWARA TEACHER TRAINING INSTITUTE SHAHPUR, GULBARGA (Id: S-6826)",4,5,,,1,1,3,2,,,2,1,,
"SRI SIDDHARTHA DED COLLEGE HUCHCHA GONDANAHALLI, TUMKUR (Id: S-12215)",3,,,,,,3,,,,,,,
SRI SIDDHARTHA SCHOOL OF NURSING AGALKOTE CAMPUS B H ROAD TUMKUR (Id: S-4337),1,11,,,,,,1,,,,,1,9
SRI SIDDHARTHA SCHOOL OF NURSING SIDDHARTHA NAGAR B H ROAD TUMKUR (Id: S-4338),1,11,,,,,,1,,,,,1,9
SRI SITHESWARRAR TEACHER TRAINING INSTITUTE ARCOT (Id: S-8383),6,,,,,,4,,,,,,,
Sri Siva Sai College of Education (Id: S-14334),13,2,4,,,,4,1,,,,,4,
"Sri Siva Teja D.Ed College,  Prakasam (Id: S-16381)",1,,,,,,,,,,,,,
SRI SOWDAMBIKA POLYTECHNIC COLLEGE ARUPPUKOTTAI (Id: S-3037),51,22,3,1,,,48,21,,,,,2,1
SRI S RAMASAMY NAIDU MEMORIAL POLYTECHNIC COLLEGE E MUTHULINGAPURAM (Id: S-3033),31,21,1,,,,30,21,,,1,,,
"Sri Sri Baroda School of Nursing , Odisha (Id: S-15667)",1,6,,,,,,2,,,,,,
"Sri Srinivasa D.Ed College, Plot No. 571, Darsi, Prakasam District (Id: S-16467)",1,,,,,,,,,,,,,
"SRI SS DED COLLEGE LONI BK, BIJAPUR (Id: S-12301)",9,,2,,,,1,,,,,,,
SRI SUBABHARATHI POLYTECHNIC COLLEGE KALLALANGUDI (Id: S-3038),19,11,4,1,,,15,10,,,,,1,1
"SRI SUKHMANI POLYTECHNIC  CAMPUS, MOHALI (Id: S-13832)",21,20,,,,,1,,,,,1,8,7
SRI THIAGARAJAR POLYTECHNIC COLLEGE VALAPPADY (Id: S-3039),15,15,2,1,,1,13,10,,,,,,
SRI THIYAGARAJA INSTITUTE OF TEACHER EDUCATION THIRUVARUR (Id: S-8387),3,3,2,1,,,1,2,,,,,,
SRI. T S CHANDRASHEKARAIAH INSTITUTE OF PARAMEDICAL SCIENCES MYSORE (Id: S-18809),3,5,,,,,,,,,,,,
SRI UMAMAHESWARA SCHOOL OF NURSING KURNOOL- (Id: S-3642),,14,,7,,,,7,,,,,,1
SRI VAGDEVI SCHOOL OF NURSING (Id: S-16045),12,4,,,,,,,,,1,,6,2
SRI VASAVI G M R D.Ed COLLEGE (Id: S-15858),5,11,,3,,,4,4,,,,,,1
SRI VASAVI INSTITUTE OF ENGINEERING & TECHNOLOGY (Id: S-649),16,13,2,2,,,5,4,,,1,,1,
"SRI VATSA POLYTECHNIC COLLEGE E., VIRUDHUNAGAR (Id: S-12792)",18,12,7,3,,,11,9,,,,,,
SRI VEERASHIVA SAMAJ T.T.I RAICHUR (Id: S-6838),5,1,,,,,5,1,,,,1,,
SRI VENGATESWARAA POLYTECHNIC COLLEGE VENNANDUR (Id: S-3040),14,13,1,1,,,13,12,,,,,,1
SRI VENKATACHALAPATHY POLYTECHNIC COLLEGE VADAKUCHIPALAYAM (Id: S-3041),38,13,,,,,36,13,,,,,,
SRI VENKATA PADMAVATHI SCHOOL OF NURSING CHITTOOR (Id: S-3643),4,10,,3,,,,1,,,,1,,
SRI VENKATA RAJU INSTITUTE OF TECH BANGALORE (Id: S-1449),10,9,2,1,1,,2,,,,,1,,
"SRI VENKATA RAMANA SCHOOL OF NURSING, RAMNAGAR, PRAKASAM (Id: S-13068)",,8,,6,,1,,1,,,,,,
"SRI VENKATARAMANA SCHOOL OF NURSING, TANUKU, WEST GODAVARI (Id: S-12989)",,10,,7,,,,3,,,,1,,
SRI VENKATA SAI SCHOOL OF NURSING MAHBOOBNAGAR (Id: S-3644),4,18,0,3,1,,3,13,,,,,,4
SRI VENKATESHWARAA POLYTECHNIC COLLEGE PAPPINAICKANAHALLI (Id: S-3042),28,2,4,1,,,0,,,,,,,
Sri Venkateshwara College of Education (Id: S-14401),10,2,,,,,9,2,,,,,,
"Sri Venkateshwara College of Education, Nizamabad (Id: S-16307)",7,1,2,,,,4,1,,,1,,,
"Sri Venkateshwara D.Ed College, Ranga Reddy (Id: S-16309)",6,2,0,1,,,6,1,,,1,,,1
SRI VENKATESHWARA POLYTECHNIC BANGALORE (Id: S-1450),19,10,4,3,1,1,7,2,1,,,,,1
SRI VENKATESHWARA SCHOOL OF NURSING CHITTOOR (Id: S-3646),,10,,2,,,,4,,,,,,
SRI VENKATESHWARA SCHOOL OF NURSING TUMKUR (Id: S-4341),10,6,2,2,2,1,2,1,,,,,,
SRI VENKATESVARA POLYTECHNIC COLLEGE THIRUMALAIRAYASAMUTHIRAM (Id: S-3043),4,0,1,0,,,3,,,,,,1,
"Sri Venkateswara College of Education (D.Ed.),  Addanki Road, Darsi, Prakasam-523247 (Id: S-13368)",8,,,,,,,,,,,,,
Sri Venkateswara Engineering College (II Shift Diploma courses) (Id: S-16553),16,4,3,,3,,8,2,,,3,,,
SRI VENKATESWARA INSTITUTE OF ELEMENTARY TEACHER EDUCATION (Id: S-16410),7,1,,,,,4,,1,,,,,
SRI VENKATESWARA POLYTECHNIC (Id: S-17639),26,5,1,,,,21,5,,,,,,
SRI VENKATESWARA POLYTECHNIC COLLEGE ADUKKAMPARAI (Id: S-3044),27,13,1,1,,,26,12,,,,,,1
"SRI VENKATESWARA POLYTECHNIC COLLEGE, KAZHUDUR (Id: S-13775)",20,8,6,1,,,10,6,,,,,,
SRI VENKATESWARA POLYTECHNIC COLLEGE PARASUR (Id: S-3045),44,12,,,,,19,4,,,1,,,
"SRI VENKATESWARA SCHOOL OF NURSING, DASANAPURA (Id: S-4343)",4,9,1,,,1,1,3,,,,,2,3
"SRI VENKATESWARA SCHOOL OF NURSING, MALKAJIGIRI, HYDERABAD (Id: S-13250)",1,17,,,,,,1,,1,,,,1
SRI VIDYA TEACHER TRAINING COLLEGE (Id: S-16414),6,2,1,,,,3,2,,,,,,
SRI.VIDYA TEACHER TRAINING INSTITUTE P.KUMARALINGAPURAM (Id: S-8415),4,2,1,,,,3,2,,,,,,
SRI VIGNESH POLYTECHNIC COLLEGE KOOTHUR (Id: S-3046),33,14,3,2,,,29,10,,1,,,5,1
SRI VIJAY VIDYALAYA TEACHER TRAINING INSTITUTE GANDHI NAGAR (Id: S-8404),4,2,,,,,,1,,,,1,,
"SRI VIKAS SCHOOL OF NURSING, TIRUPATHI, CHITTOOR (Id: S-13160)",,6,,1,,,,4,,,,2,,
SRI VINAYAGA POLYTECHNIC COLLEGE PUDHUMOTTUR (Id: S-3047),14,3,,,,,14,3,,,,,,
SRI VINAYAKA POLYTECHNICKORAMANDAL (Id: S-1452),20,16,6,13,,,2,1,,,1,,1,
"SRI VINAYAKA SCHOOL OF NURSING, TIRUCHANUR, CHITTOOR (Id: S-13140)",,18,,7,,,,10,,,,1,,
SRI VIRUTHAMBIGAI SCHOOL OF NURSING CUDDALORE (Id: S-5347),,7,,,,,,7,,,,,,1
SRI VISHNU SCHOOL OF NURSING BANGALORE RURAL (Id: S-4345),9,13,,,,,,,,,1,,5,5
"SRI VISHWARADHYA D.ED COLLEGE YADGIRI, GULBARGA (Id: S-12077)",9,,1,,,,8,,,,,,,
"Sri Vivekananda College of Elementary Education,  Mahabubabad, Warangal (Id: S-16311)",2,,,,,,2,,,,,,,
Sri Y.N. COLLEGE OF ELEMENTARY EDUCATION (Id: S-15919),4,4,1,2,,,,1,,,,,1,2
SRI Y V S & B R M SCHOOL OF NURSING EAST GODAVARI (Id: S-3649),,12,,11,,,,,,,,,,
